variant,seed_count,oof_macro_f1_mean,oof_macro_f1_std,delta_vs_eb_mean,delta_vs_eb_std,convergence_warning_count,leakage_check,nan_as_mutation_count
P1_EB,3,0.5279575352116997,0.00162458103452565,0.0,0.0,0,True,0
P1_non_EB,3,0.5261484647179117,0.004676758994301639,-0.0018090704937881636,0.004095175510339736,0,True,0
selective_EB_gate,3,0.5344455713447919,0.0010265882189725898,0.006488036133092123,0.002609667312884391,0,True,0
