variant,oof_macro_f1,feature_count,convergence_warning_count,leakage_check,nan_as_mutation_count,runtime_seconds,delta_vs_gate
P1_EB,0.5338637336031957,8225,0,True,0,292.5185148715973,-0.0016975747756644566
selective_EB_gate,0.5355613083788602,8225,0,True,0,292.527067899704,0.0
eb_offset_residual,0.5233794746589407,20768,0,True,0,292.5351948738098,-0.012181833719919433
