seed,class,support,P1_EB,selective_EB_gate,eb_offset_residual,delta_residual_vs_gate
42,ACC,72,0.8695652173913043,0.8671328671328671,0.8513513513513513,-0.015781515781515765
42,BLCA,104,0.47393364928909953,0.5,0.4745762711864407,-0.02542372881355931
42,BRCA,786,0.5428571428571428,0.5367825383993533,0.5302013422818792,-0.006581196117474097
42,CESC,155,0.4260355029585799,0.42406876790830944,0.4207492795389049,-0.003319488369404544
42,COAD,223,0.7422222222222222,0.757847533632287,0.7528344671201814,-0.005013066512105535
42,DLBC,38,0.5569620253164557,0.5882352941176471,0.4444444444444444,-0.14379084967320266
42,GBMLGG,461,0.49072753209700426,0.49441340782122906,0.45790251107828656,-0.0365108967429425
42,HNSC,223,0.38799076212471134,0.37176470588235294,0.38694638694638694,0.015181681064034003
42,KIPAN,515,0.6208425720620843,0.6094609460946094,0.6105263157894737,0.00106536969486426
42,KIRC,334,0.7169811320754716,0.7001434720229556,0.70995670995671,0.009813237933754437
42,LAML,158,0.54375,0.5431309904153354,0.5454545454545454,0.0023235550392100013
42,LGG,229,0.6284658040665434,0.6311926605504588,0.6181172291296625,-0.013075431420796257
42,LIHC,158,0.4233983286908078,0.4250681198910082,0.4250681198910082,0.0
42,LUAD,184,0.3824451410658307,0.41009463722397477,0.39644970414201186,-0.013644933081962907
42,LUSC,178,0.556390977443609,0.5525672371638142,0.5608465608465608,0.008279323682746642
42,OV,253,0.46153846153846156,0.4603421461897356,0.44613050075872535,-0.014211645431010278
42,PAAD,120,0.4318936877076412,0.42567567567567566,0.4,-0.025675675675675635
42,PCPG,147,0.31876606683804626,0.3358395989974937,0.3356009070294785,-0.00023869196801523662
42,PRAD,266,0.37464788732394366,0.3469079939668175,0.3715170278637771,0.02460903389695962
42,SARC,198,0.24390243902439024,0.26229508196721313,0.24390243902439024,-0.01839264294282289
42,SKCM,276,0.9009708737864077,0.8992248062015504,0.8988326848249028,-0.00039212137664768054
42,STES,379,0.5584045584045584,0.5563282336578581,0.5362095531587057,-0.02011868049915244
42,TGCT,124,0.6193548387096774,0.6217948717948718,0.5780346820809249,-0.043760189713946906
42,THCA,324,0.6977611940298507,0.7078651685393258,0.7030075187969925,-0.00485764974233327
42,THYM,98,0.2991202346041056,0.29394812680115273,0.28969359331476324,-0.004254533486389489
42,UCEC,198,0.6115288220551378,0.6024691358024692,0.6195121951219512,0.017043059319482023
