variant,oof_macro_f1,feature_count,convergence_warning_count,leakage_check,nan_as_mutation_count,runtime_seconds,top1_recall,oracle_macro_f1_at1,top2_recall,oracle_macro_f1_at2,top3_recall,oracle_macro_f1_at3,delta_vs_gate
P1_EB,0.5346421601035954,8225,0,True,0,435.5321810245514,0.5402354458958233,0.5346421601035954,0.6855345911949685,0.6722308124997688,0.7656829543621997,0.7524830607588282,-0.0013666596783772356
selective_EB_gate,0.5360088197819727,8225,0,True,0,435.56705808639526,0.5384615384615384,0.5360088197819727,0.6842444766973069,0.6725508934524638,0.7626189324302531,0.7516215167443646,0.0
all_class_ranker,0.5517921241013167,45,0,True,0,435.602098941803,0.5584583131752943,0.5517921241013167,0.7132720528946944,0.6884395991190366,0.7847121432027092,0.7601434381183729,0.01578330431934405
