variant,oof_macro_f1,feature_count,convergence_warning_count,leakage_check,nan_as_mutation_count,delta_vs_g0
G0_P1_EB,0.5343909021245085,8201.2,0,True,0,0.0
G1_legacy_parser,0.5321731752646068,8201.2,0,True,0,-0.0022177268599016253
