seed,fold,epoch,weighted_loss
42,1,1,1.6535510694019888
42,1,2,1.6387633099560608
42,1,3,1.624573666159109
42,1,4,1.6120871254395222
42,1,5,1.5997046441871636
42,1,6,1.5889851632571856
42,1,7,1.5800169245362379
42,1,8,1.5703216735701502
42,1,9,1.5606161798813996
42,1,10,1.5529341613308254
42,1,11,1.5448420068419089
42,1,12,1.537867832741137
42,1,13,1.5299849443651428
42,1,14,1.5219512597795675
42,1,15,1.5131302488387888
42,1,16,1.5062655327824992
42,1,17,1.4990020373153412
42,1,18,1.4928228173345466
42,1,19,1.4863699986693082
42,1,20,1.4805207098469628
42,1,21,1.4748243448609413
42,1,22,1.46918664680844
42,1,23,1.4636735669050855
42,1,24,1.4582867200511689
42,1,25,1.453209011669083
42,1,26,1.448011458669214
42,1,27,1.4428765600697362
42,1,28,1.4374917365274469
42,1,29,1.4329623989450222
42,1,30,1.4278809953257543
42,1,31,1.4231087853592324
42,1,32,1.4182608692218683
42,1,33,1.4136974307112131
42,1,34,1.4090300978464096
42,1,35,1.4045430232225666
42,1,36,1.399952304937585
42,1,37,1.3955623903624796
42,1,38,1.3911498759804353
42,1,39,1.3869074406653068
42,1,40,1.3830146093929043
42,2,1,1.6473686675253085
42,2,2,1.635231851248599
42,2,3,1.6246821881273683
42,2,4,1.6133416020434417
42,2,5,1.6035889219883694
42,2,6,1.5941952610639523
42,2,7,1.5851192757912078
42,2,8,1.5766201727889306
42,2,9,1.56845490913053
42,2,10,1.560415650386525
42,2,11,1.553070620126687
42,2,12,1.5450229159406763
42,2,13,1.5383632016261113
42,2,14,1.5312037423164564
42,2,15,1.5247745007154037
42,2,16,1.5183341241096011
42,2,17,1.5118410727070626
42,2,18,1.5056932728859347
42,2,19,1.4996266733719672
42,2,20,1.4939411991619118
42,2,21,1.488070319920962
42,2,22,1.4821763821050147
42,2,23,1.4766195976189718
42,2,24,1.4711981472848856
42,2,25,1.4661648733658859
42,2,26,1.4611221984725375
42,2,27,1.455930879942705
42,2,28,1.4507398543103323
42,2,29,1.445854980949228
42,2,30,1.4412126482568544
42,2,31,1.4362815925271861
42,2,32,1.4315384759172882
42,2,33,1.4270310403112378
42,2,34,1.4225853460451836
