seed,fold,epoch,weighted_loss
42,2,35,1.41821128370247
42,2,36,1.413818467887073
42,2,37,1.4096101011142057
42,2,38,1.4054861074884744
42,2,39,1.4012619483008537
42,2,40,1.3971293005527068
42,3,1,1.6656108832651253
42,3,2,1.65328188559873
42,3,3,1.6411820863650841
42,3,4,1.6310101345409533
42,3,5,1.6203312786434478
42,3,6,1.6110622904149465
42,3,7,1.6023336042104055
42,3,8,1.5926020066222413
42,3,9,1.583554204549789
42,3,10,1.5751002958562403
42,3,11,1.566861613063015
42,3,12,1.5593943944829418
42,3,13,1.5518068017846294
42,3,14,1.5439897284812216
42,3,15,1.5370242293975254
42,3,16,1.5303961039217984
42,3,17,1.5234739584547075
42,3,18,1.516450463456028
42,3,19,1.5101583500340332
42,3,20,1.5042353568897877
42,3,21,1.49823475451963
42,3,22,1.4922526057736138
42,3,23,1.486529753695712
42,3,24,1.481408841634662
42,3,25,1.4757067137707733
42,3,26,1.470630290686258
42,3,27,1.4651222003716393
42,3,28,1.4599173222278448
42,3,29,1.4549085998169318
42,3,30,1.4495877709920608
42,3,31,1.444705889197923
42,3,32,1.4398398464046578
42,3,33,1.4348437781127379
42,3,34,1.430106540147341
42,3,35,1.4256398910698718
42,3,36,1.4210337902726313
42,3,37,1.4166809246773775
42,3,38,1.4121040954054405
42,3,39,1.407767161820953
42,3,40,1.4033363074154341
42,4,1,1.667930933178827
42,4,2,1.6524462098530044
42,4,3,1.6347901128493478
42,4,4,1.6235910315399191
42,4,5,1.610448051532375
42,4,6,1.598920728276082
42,4,7,1.5877761226847755
42,4,8,1.5789965712527207
42,4,9,1.5707014888416801
42,4,10,1.563321674150058
42,4,11,1.5555754768876724
42,4,12,1.5476579623715057
42,4,13,1.5400069586306664
42,4,14,1.5320640567372164
42,4,15,1.5249379414733266
42,4,16,1.517960981166561
42,4,17,1.511435364950489
42,4,18,1.5050048440987958
42,4,19,1.4984623104629884
42,4,20,1.4920333884922754
42,4,21,1.4859169032444335
42,4,22,1.4798071585615475
42,4,23,1.4740791781927705
42,4,24,1.4683764589553565
42,4,25,1.4627139680621353
42,4,26,1.457461369033358
42,4,27,1.4522811005394411
42,4,28,1.447498006561638
42,4,29,1.4426172251378444
42,4,30,1.4377655759825936
42,4,31,1.4326668459308523
42,4,32,1.4280054521356886
42,4,33,1.422749455746505
42,4,34,1.4179031318488438
42,4,35,1.41334516075684
42,4,36,1.4086937421521928
42,4,37,1.403827247111011
42,4,38,1.3992838687567601
42,4,39,1.394764582017342
42,4,40,1.390558683132007
42,5,1,1.676952254697057
42,5,2,1.6633811655855415
42,5,3,1.6493398883556105
42,5,4,1.6328598836342831
42,5,5,1.6218598955765993
42,5,6,1.611128621931998
42,5,7,1.6013876457703538
42,5,8,1.592225554019046
42,5,9,1.5828896002910557
42,5,10,1.5738924524308113
42,5,11,1.5641763886046656
42,5,12,1.5567289220619718
42,5,13,1.5487883707858259
42,5,14,1.5415524612317635
42,5,15,1.5346674521905672
42,5,16,1.5282626399529682
42,5,17,1.521381112599468
42,5,18,1.5150048398127234
42,5,19,1.508598911452191
42,5,20,1.5023951848596178
42,5,21,1.4963212436485913
42,5,22,1.4898597824425113
42,5,23,1.483890903721586
42,5,24,1.4783026462089854
42,5,25,1.4728960038167445
42,5,26,1.4675048510222806
42,5,27,1.462587714988699
42,5,28,1.4574043210488032
42,5,29,1.4522415598761835
42,5,30,1.4473009738044216
42,5,31,1.4423144756574715
42,5,32,1.4376070073422014
42,5,33,1.432887480966446
42,5,34,1.4279701196469483
42,5,35,1.423342106216658
42,5,36,1.418447304837657
42,5,37,1.413892312599421
42,5,38,1.4093679578913794
42,5,39,1.4050304646509921
42,5,40,1.4009334531923268
