fold,macro_f1,feature_count,variant
1,0.5142088757359314,8160,G0_P1_EB
2,0.5429748332369168,8203,G0_P1_EB
3,0.5314274366738512,8169,G0_P1_EB
4,0.5523581381069783,8249,G0_P1_EB
5,0.5320760028963117,8225,G0_P1_EB
1,0.5103784872257009,8160,G1_legacy_parser
2,0.5379200883541808,8203,G1_legacy_parser
3,0.528419518281845,8169,G1_legacy_parser
4,0.5535575931247607,8249,G1_legacy_parser
5,0.5319211351102069,8225,G1_legacy_parser
