seed,class,support,P1_EB,selective_EB_gate,all_class_ranker,delta_ranker_vs_gate
42,ACC,72,0.8695652173913043,0.8671328671328671,0.8888888888888888,0.02175602175602176
42,BLCA,104,0.47393364928909953,0.5,0.4838709677419355,-0.016129032258064502
42,BRCA,786,0.5428571428571428,0.5351657235246564,0.5404747413268411,0.0053090178021847345
42,CESC,155,0.4260355029585799,0.4265129682997118,0.4175084175084175,-0.009004550791294308
42,COAD,223,0.7450110864745011,0.757847533632287,0.772093023255814,0.014245489623527008
42,DLBC,38,0.5569620253164557,0.5882352941176471,0.6,0.0117647058823529
42,GBMLGG,461,0.4928774928774929,0.4958217270194986,0.5651105651105651,0.0692888380910665
42,HNSC,223,0.3888888888888889,0.3700234192037471,0.39814814814814814,0.028124728944401045
42,KIPAN,515,0.6208425720620843,0.6118421052631579,0.6164519326065411,0.0046098273433832215
42,KIRC,334,0.7169811320754716,0.7001434720229556,0.7387944358578052,0.03865096383484967
42,LAML,158,0.54375,0.5466237942122186,0.564625850340136,0.018002056127917387
42,LGG,229,0.6296296296296297,0.6311926605504588,0.6444007858546169,0.013208125304158158
42,LIHC,158,0.4245810055865922,0.4273972602739726,0.4716981132075472,0.04430085293357455
42,LUAD,184,0.3824451410658307,0.41009463722397477,0.4074074074074074,-0.0026872298165673825
42,LUSC,178,0.556390977443609,0.5525672371638142,0.5511811023622047,-0.0013861348016094288
42,OV,253,0.46390168970814133,0.45962732919254656,0.46601941747572817,0.006392088283181607
42,PAAD,120,0.4318936877076412,0.42567567567567566,0.45864661654135336,0.0329709408656777
42,PCPG,147,0.31876606683804626,0.3358395989974937,0.3559870550161812,0.020147456018687504
42,PRAD,266,0.3757062146892655,0.3469079939668175,0.38980509745127434,0.042897103484456856
42,SARC,198,0.24817518248175183,0.2616822429906542,0.22535211267605634,-0.036330130314597836
42,SKCM,276,0.9009708737864077,0.8992248062015504,0.9005847953216374,0.0013599891200869463
42,STES,379,0.5592011412268189,0.5571030640668524,0.5683646112600537,0.011261547193201271
42,TGCT,124,0.6237942122186495,0.6237942122186495,0.6852589641434262,0.06146475192477674
42,THCA,324,0.6977611940298507,0.7078651685393258,0.6934306569343066,-0.014434511605019185
42,THYM,98,0.2982456140350877,0.29394812680115273,0.3120567375886525,0.018108610787499757
42,UCEC,198,0.6115288220551378,0.6039603960396039,0.6304347826086957,0.026474386569091735
