candidate_id,fold,fm_fold_macro_f1,blend_0p25_fold_macro_f1,blend_0p50_fold_macro_f1,baseline_fold_macro_f1,paired_delta_0p25,paired_delta_0p50,early_stopping_epoch,loss_finite
FM-04_fixed_rank8_lr3e-4_balanced,1,0.3596847810053445,0.48752863523244916,0.47874858670630555,0.4724201560595004,0.015108479172948774,0.006328430646805161,4,True
FM-04_fixed_rank8_lr3e-4_balanced,2,0.34552121219608734,0.4871750894826844,0.4442213320797916,0.4868858284320392,0.00028926105064519536,-0.042664496352247616,5,True
FM-04_fixed_rank8_lr3e-4_balanced,3,0.3450498989261319,0.4687340467214867,0.4460335572103393,0.46853347751182756,0.0002005692096591627,-0.02249992030148823,5,True
FM-04_fixed_rank8_lr3e-4_balanced,4,0.32899962820379136,0.48480864152664654,0.4215413579617095,0.476902766414631,0.00790587511201557,-0.05536140845292148,6,True
FM-04_fixed_rank8_lr3e-4_balanced,5,0.3439713300116427,0.5045173410028343,0.475899682969187,0.5040693452846597,0.0004479957181745542,-0.028169662315472743,5,True
