experiment_id,model,seed,profile_oof_macro_f1,blend_weight_profile,blend_oof_macro_f1,delta_vs_lr08,feature_count_mean,runtime_seconds,leakage_check,nan_as_mutation_count
exp-profile-model-01,lr08_baseline,2024,0.47966653196064707,0.0,0.47966653196064707,0.0,14495.2,32.19306366701494,True,0
exp-profile-model-01,bernoulli_nb,2024,0.13837894187332359,0.0,0.13837894187332359,-0.34128759008732346,14495.2,32.20959145799861,True,0
exp-profile-model-01,bernoulli_nb,2024,0.13837894187332359,0.25,0.39351974482548263,-0.08614678713516444,14495.2,32.218069000024116,True,0
exp-profile-model-01,bernoulli_nb,2024,0.13837894187332359,0.5,0.1622271845449999,-0.31743934741564717,14495.2,32.22705100002349,True,0
exp-profile-model-01,complement_nb,2024,0.28186164949711984,0.0,0.28186164949711984,-0.19780488246352723,14495.2,32.24445683302474,True,0
exp-profile-model-01,complement_nb,2024,0.28186164949711984,0.25,0.4899600814566864,0.010293549496039334,14495.2,32.252674792020116,True,0
exp-profile-model-01,complement_nb,2024,0.28186164949711984,0.5,0.477659511561949,-0.002007020398698045,14495.2,32.26070591699681,True,0
exp-profile-model-01,multinomial_nb,2024,0.21750227792859403,0.0,0.21750227792859403,-0.262164254032053,14495.2,32.276543375017354,True,0
exp-profile-model-01,multinomial_nb,2024,0.21750227792859403,0.25,0.41359734501236417,-0.0660691869482829,14495.2,32.28485620801803,True,0
exp-profile-model-01,multinomial_nb,2024,0.21750227792859403,0.5,0.25544527205773043,-0.22422125990291664,14495.2,32.29315104201669,True,0
exp-profile-model-01,prototype_cosine,2024,0.39171066912772096,0.0,0.39171066912772096,-0.08795586283292611,14495.2,32.309207750018686,True,0
exp-profile-model-01,prototype_cosine,2024,0.39171066912772096,0.25,0.47990337640769215,0.00023684444704508145,14495.2,32.317751708003925,True,0
exp-profile-model-01,prototype_cosine,2024,0.39171066912772096,0.5,0.48052991038836246,0.0008633784277153889,14495.2,32.32613129200763,True,0
