candidate_id,fold,phase,epoch,loss
FM-04_fixed_rank8_lr3e-4_balanced,4,inner_valid,14,2.533536195755005
FM-04_fixed_rank8_lr3e-4_balanced,4,outer_train,1,3.1159779495876707
FM-04_fixed_rank8_lr3e-4_balanced,4,outer_train,2,2.45673125277025
FM-04_fixed_rank8_lr3e-4_balanced,4,outer_train,3,1.9867331905966683
FM-04_fixed_rank8_lr3e-4_balanced,4,outer_train,4,1.5428119526109347
FM-04_fixed_rank8_lr3e-4_balanced,4,outer_train,5,1.2739692338410225
FM-04_fixed_rank8_lr3e-4_balanced,4,outer_train,6,1.5153353852001175
FM-04_fixed_rank8_lr3e-4_balanced,5,inner_valid,1,3.0116889476776123
FM-04_fixed_rank8_lr3e-4_balanced,5,inner_valid,2,2.7908003330230713
FM-04_fixed_rank8_lr3e-4_balanced,5,inner_valid,3,2.5081019401550293
FM-04_fixed_rank8_lr3e-4_balanced,5,inner_valid,4,2.4167661666870117
FM-04_fixed_rank8_lr3e-4_balanced,5,inner_valid,5,2.398709535598755
FM-04_fixed_rank8_lr3e-4_balanced,5,inner_valid,6,2.485077381134033
FM-04_fixed_rank8_lr3e-4_balanced,5,inner_valid,7,2.6630284786224365
FM-04_fixed_rank8_lr3e-4_balanced,5,inner_valid,8,2.465256929397583
FM-04_fixed_rank8_lr3e-4_balanced,5,inner_valid,9,2.621572256088257
FM-04_fixed_rank8_lr3e-4_balanced,5,inner_valid,10,2.707878351211548
FM-04_fixed_rank8_lr3e-4_balanced,5,inner_valid,11,2.640624761581421
FM-04_fixed_rank8_lr3e-4_balanced,5,inner_valid,12,2.6771352291107178
FM-04_fixed_rank8_lr3e-4_balanced,5,inner_valid,13,2.707022190093994
FM-04_fixed_rank8_lr3e-4_balanced,5,outer_train,1,3.109358901483497
FM-04_fixed_rank8_lr3e-4_balanced,5,outer_train,2,2.52837910317673
FM-04_fixed_rank8_lr3e-4_balanced,5,outer_train,3,1.914219615008172
FM-04_fixed_rank8_lr3e-4_balanced,5,outer_train,4,1.5510221406399927
FM-04_fixed_rank8_lr3e-4_balanced,5,outer_train,5,1.1199915810136924
