model,fold,profile_fold_macro_f1,blend_0.25_fold_macro_f1,blend_0.50_fold_macro_f1
bernoulli_nb,1,0.13486175258154176,0.36284416016971927,0.15383492914564834
complement_nb,1,0.27538768717695145,0.4758522540901835,0.47031963852665987
multinomial_nb,1,0.2084678748270761,0.39855136046328593,0.24821681628043193
prototype_cosine,1,0.38581129815038234,0.47566602883339354,0.47335052066006356
bernoulli_nb,2,0.13561482363039862,0.36659149942892216,0.1551343720385695
complement_nb,2,0.29045957277575546,0.47792008431714655,0.46306484494645067
multinomial_nb,2,0.1904893874318064,0.3838132804752815,0.23637237889578305
prototype_cosine,2,0.37122730513141977,0.46110236146145095,0.46341798746741236
bernoulli_nb,3,0.13461882124152108,0.40269258747957387,0.15324511598983762
complement_nb,3,0.27314483644248894,0.49022006452578903,0.4631941017554099
multinomial_nb,3,0.21409848200782575,0.4160696196265568,0.24952714691745853
prototype_cosine,3,0.3848215045293484,0.4979809404242183,0.5018460611981886
bernoulli_nb,4,0.13364137425746156,0.3999624170850759,0.16611581805062522
complement_nb,4,0.2750898886390373,0.4989945888931067,0.48084631473881423
multinomial_nb,4,0.21767604278872954,0.41380011935882116,0.2626737271397186
prototype_cosine,4,0.3899674569441534,0.49499589440791697,0.4962412264351946
bernoulli_nb,5,0.1441295825455124,0.38094023083125134,0.15678029190755577
complement_nb,5,0.2820055856275196,0.4860496149040012,0.46927347690480387
multinomial_nb,5,0.21626527963509318,0.4086006256046196,0.2490926295134077
prototype_cosine,5,0.39574443205777726,0.4832951403890386,0.4819051278463818
