experiment_id,model,seed,profile_oof_macro_f1,blend_weight_profile,blend_oof_macro_f1,delta_vs_lr08,feature_count_mean,runtime_seconds,leakage_check,nan_as_mutation_count
exp-profile-model-01,lr08_baseline,42,0.4825927951809337,0.0,0.4825927951809337,0.0,14496.0,32.30752170798951,True,0
exp-profile-model-01,bernoulli_nb,42,0.13511214923774623,0.0,0.13511214923774623,-0.34748064594318745,14496.0,32.324487375008175,True,0
exp-profile-model-01,bernoulli_nb,42,0.13511214923774623,0.25,0.3849759085524964,-0.09761688662843726,14496.0,32.33320912500494,True,0
exp-profile-model-01,bernoulli_nb,42,0.13511214923774623,0.5,0.1581104150277268,-0.32448238015320685,14496.0,32.34155066701351,True,0
exp-profile-model-01,complement_nb,42,0.27865063184126754,0.0,0.27865063184126754,-0.20394216333966614,14496.0,32.35723045800114,True,0
exp-profile-model-01,complement_nb,42,0.27865063184126754,0.25,0.48974157325389045,0.007148778072956774,14496.0,32.3652730419999,True,0
exp-profile-model-01,complement_nb,42,0.27865063184126754,0.5,0.4770384011860763,-0.005554393994857354,14496.0,32.37354175001383,True,0
exp-profile-model-01,multinomial_nb,42,0.21588035692381968,0.0,0.21588035692381968,-0.266712438257114,14496.0,32.389333667000756,True,0
exp-profile-model-01,multinomial_nb,42,0.21588035692381968,0.25,0.41213283748957397,-0.07045995769135971,14496.0,32.39779862499563,True,0
exp-profile-model-01,multinomial_nb,42,0.21588035692381968,0.5,0.2542390761858707,-0.22835371899506296,14496.0,32.40584699998726,True,0
exp-profile-model-01,prototype_cosine,42,0.3831562757949183,0.0,0.3831562757949183,-0.09943651938601539,14496.0,32.422560250008246,True,0
exp-profile-model-01,prototype_cosine,42,0.3831562757949183,0.25,0.4842265689522784,0.0016337737713447154,14496.0,32.43054487500922,True,0
exp-profile-model-01,prototype_cosine,42,0.3831562757949183,0.5,0.4864350322893763,0.0038422371084426143,14496.0,32.439289458008716,True,0
