experiment_id,model,seed,profile_oof_macro_f1,blend_weight_profile,blend_oof_macro_f1,delta_vs_lr08,feature_count_mean,runtime_seconds,leakage_check,nan_as_mutation_count
exp-profile-model-01,lr08_baseline,777,0.4837840884370487,0.0,0.4837840884370487,0.0,14493.8,32.65708866601926,True,0
exp-profile-model-01,bernoulli_nb,777,0.1372984692548688,0.0,0.1372984692548688,-0.3464856191821799,14493.8,32.674012833012966,True,0
exp-profile-model-01,bernoulli_nb,777,0.1372984692548688,0.25,0.385737989669095,-0.09804609876795367,14493.8,32.68239050000557,True,0
exp-profile-model-01,bernoulli_nb,777,0.1372984692548688,0.5,0.15838894278920815,-0.32539514564784056,14493.8,32.69048604101408,True,0
exp-profile-model-01,complement_nb,777,0.28014343416108434,0.0,0.28014343416108434,-0.20364065427596434,14493.8,32.70706166600576,True,0
exp-profile-model-01,complement_nb,777,0.28014343416108434,0.25,0.4878004634098319,0.004016374972783232,14493.8,32.715028041013284,True,0
exp-profile-model-01,complement_nb,777,0.28014343416108434,0.5,0.471656761434958,-0.012127327002090682,14493.8,32.724452916008886,True,0
exp-profile-model-01,multinomial_nb,777,0.21115808071146464,0.0,0.21115808071146464,-0.27262600772558404,14493.8,32.74074995800038,True,0
exp-profile-model-01,multinomial_nb,777,0.21115808071146464,0.25,0.40814804774963925,-0.07563604068740942,14493.8,32.7489516659989,True,0
exp-profile-model-01,multinomial_nb,777,0.21115808071146464,0.5,0.25149103139447726,-0.23229305704257142,14493.8,32.75711845801561,True,0
exp-profile-model-01,prototype_cosine,777,0.38664341927186185,0.0,0.38664341927186185,-0.09714066916518682,14493.8,32.77362770802574,True,0
exp-profile-model-01,prototype_cosine,777,0.38664341927186185,0.25,0.4847084686317457,0.0009243801946970387,14493.8,32.78208616600023,True,0
exp-profile-model-01,prototype_cosine,777,0.38664341927186185,0.5,0.4854622802667961,0.001678191829747433,14493.8,32.79024695800035,True,0
