variant,fold,lr_fold_macro_f1,nb_ratio_fold_macro_f1,blend_fold_macro_f1,feature_count
event_core,1,0.4724201560595004,0.45100980737118657,0.4853246674058949,8130
event_core_signature,1,0.4724201560595004,0.4386331619397748,0.48627663798667026,35065
event_core,2,0.4868858284320392,0.460124837646657,0.4974281724894199,8173
event_core_signature,2,0.4868858284320392,0.43121392600137615,0.4946274748061053,34444
event_core,3,0.46853347751182756,0.46797623703597624,0.4830202455862374,8139
event_core_signature,3,0.46853347751182756,0.45040674929355556,0.49428587987471523,34442
event_core,4,0.476902766414631,0.4549727474281492,0.48988667337161446,8219
event_core_signature,4,0.476902766414631,0.4304912147239518,0.489616567536367,36636
event_core,5,0.5040693452846597,0.47177980079800663,0.5080665962797263,8195
event_core_signature,5,0.5040693452846597,0.44316510969039435,0.5145589266264723,35308
