variant,fold,lr_fold_macro_f1,nb_ratio_fold_macro_f1,blend_fold_macro_f1,feature_count
event_core,1,0.46284804227884957,0.45068963878027585,0.48125145874931463,8173
event_core_signature,1,0.46284804227884957,0.430796491905617,0.4850041186888258,35027
event_core,2,0.4644452460501756,0.4324543497497065,0.46804838053567865,8159
event_core_signature,2,0.4644452460501756,0.4231140757107052,0.4745206106283541,35418
event_core,3,0.5015992056633575,0.47733492711130854,0.5115171361477533,8146
event_core_signature,3,0.5015992056633575,0.46721602146328917,0.5186086423353106,33816
event_core,4,0.4816504332226467,0.463271956035895,0.4816088867083733,8178
event_core_signature,4,0.4816504332226467,0.44417989605987823,0.4835503105980823,34568
event_core,5,0.47817478311653494,0.4596091850840477,0.48742932752563406,8199
event_core_signature,5,0.47817478311653494,0.45727075708663495,0.4922976000434586,37060
