candidate_id,kind,rank,learning_rate,class_weight,seed,baseline_oof_macro_f1,fm_oof_macro_f1,blend_0p25_oof_macro_f1,blend_0p50_oof_macro_f1,paired_delta_0p25_oof,paired_delta_0p50_oof,paired_delta_0p25_fold_mean,paired_delta_0p25_fold_min,early_stopping_epoch_mean,loss_finite,runtime_seconds,feature_count_mean,leakage_check,nan_as_mutation_count
O0_sklearn_lr,sklearn_lr,0,0.0,balanced,42,0.4825927951809337,0.4825927951809337,0.4825927951809337,0.4825927951809337,0.0,0.0,0.0,0.0,,True,,8175.2,True,0
O0_torch_linear,linear,0,0.001,balanced,42,0.4825927951809337,0.38287138232050455,0.4820670329753384,0.46629404602180013,-0.0005257622055952482,-0.01629874915913354,0.0003129697165353496,-0.007405287718352471,16.8,True,117.28432795900153,14496.0,True,0
O1_lr_0.0003,fm,8,0.0003,balanced,42,0.4825927951809337,0.35159338308408394,0.48699255290985644,0.45499111150515276,0.00439975772892276,-0.02760168367578092,0.0047904360526886515,0.0002005692096591627,5.0,True,308.04829008399975,14496.0,True,0
O1_lr_0.001,fm,8,0.001,balanced,42,0.4825927951809337,0.30256783222599604,0.48361675430315015,0.45518734840575664,0.0010239591222164779,-0.027405446775177034,0.001844614056950078,-0.009954658146820894,1.6,True,176.86618695801008,14496.0,True,0
O1_lr_0.003,fm,8,0.003,balanced,42,0.4825927951809337,0.2664289923235031,0.44573421900405213,0.35530231256829753,-0.03685857617688154,-0.12729048261263615,-0.030011803981528196,-0.049841318527237555,1.0,True,155.2778468330216,14496.0,True,0
O2_rank_4,fm,4,0.0003,balanced,42,0.4825927951809337,0.3274007270070408,0.482377296425939,0.4467839358628297,-0.00021549875499465854,-0.03580885931810396,0.00028571622812743056,-0.003978678777317668,6.6,True,199.38111975000356,14496.0,True,0
O2_rank_8,fm,8,0.0003,balanced,42,0.4825927951809337,0.35159338308408394,0.48699255290985644,0.45511695053320095,0.00439975772892276,-0.027475844647732728,0.0047904360526886515,0.0002005692096591627,5.0,True,282.25758483301615,14496.0,True,0
O2_rank_16,fm,16,0.0003,balanced,42,0.4825927951809337,0.3453030275713497,0.4827351552031404,0.44323101710712337,0.00014236002220674449,-0.039361778073810305,2.4292363554567765e-05,-0.008190722553777063,4.4,True,517.8736679999856,14496.0,True,0
O3_weight_balanced,fm,8,0.0003,balanced,42,0.4825927951809337,0.35159338308408394,0.48699255290985644,0.45499111150515276,0.00439975772892276,-0.02760168367578092,0.0047904360526886515,0.0002005692096591627,5.0,True,279.51127554202685,14496.0,True,0
O3_weight_sqrt_balanced,fm,8,0.0003,sqrt_balanced,42,0.4825927951809337,0.3306926299555459,0.485909219302047,0.4465564876142505,0.003316424121113326,-0.03603630756668319,0.002833390501847144,-0.0006322987738529018,4.8,True,272.3530974169844,14496.0,True,0
O3_weight_none,fm,8,0.0003,none,42,0.4825927951809337,0.301662662368037,0.481904401349964,0.43100016255717105,-0.0006883938309696913,-0.051592632623762624,-0.0006171401173175384,-0.008708064731872078,5.2,True,286.60899420897476,14496.0,True,0
