variant,fold,lr_fold_macro_f1,nb_ratio_fold_macro_f1,blend_fold_macro_f1,feature_count
event_core,1,0.475323088787019,0.44866038746246867,0.4806930255239031,8201
event_core_signature,1,0.475323088787019,0.4325087129593116,0.4886521352296524,36300
event_core,2,0.4604128113178199,0.43586197916915215,0.4736598408666873,8146
event_core_signature,2,0.4604128113178199,0.3927444530661232,0.47376317043049515,34012
event_core,3,0.4958481729290175,0.4699221991584901,0.4862500005576652,8202
event_core_signature,3,0.4958481729290175,0.46996360695128775,0.4993250037081136,37026
event_core,4,0.4944566088595495,0.44977444994592974,0.5112602946341434,8148
event_core_signature,4,0.4944566088595495,0.4411727005089128,0.5094282003260583,34984
event_core,5,0.4823981586957596,0.4837933971864729,0.48715240428719586,8135
event_core_signature,5,0.4823981586957596,0.45260999056817464,0.4945413489126023,33664
