model,fold,profile_fold_macro_f1,blend_0.25_fold_macro_f1,blend_0.50_fold_macro_f1
bernoulli_nb,1,0.1434891642901982,0.3763175975799269,0.1784128861325265
complement_nb,1,0.27239402773793986,0.48998170176452815,0.4720173012873254
multinomial_nb,1,0.21568506252025005,0.39049712136512577,0.24684170983841353
prototype_cosine,1,0.37928116708205906,0.4620565657926613,0.4623610051568266
bernoulli_nb,2,0.13580817950838964,0.34860019632752337,0.1512234722619312
complement_nb,2,0.2914309088318336,0.47495892233360426,0.4777185321520317
multinomial_nb,2,0.21761865992218726,0.3856718013088484,0.2514299070204208
prototype_cosine,2,0.35573851881513274,0.46549429640808965,0.4682457764113195
bernoulli_nb,3,0.1316045597864843,0.42179005134882197,0.15353450927252366
complement_nb,3,0.2762993186257763,0.5031055149592739,0.48381060338591403
multinomial_nb,3,0.20731277141828716,0.4391493760813984,0.247482033654619
prototype_cosine,3,0.4154177367999164,0.5003747200138571,0.5007548554584365
bernoulli_nb,4,0.1432270926777557,0.391562079781567,0.16368219596758757
complement_nb,4,0.29561926003045313,0.49011907011145667,0.4851963885474509
multinomial_nb,4,0.22713240422247274,0.42497802115282746,0.27036708794341197
prototype_cosine,4,0.412344207216408,0.48197302454967467,0.48150506696879586
bernoulli_nb,5,0.13457513540257066,0.4095411034855095,0.15640020830394516
complement_nb,5,0.26216821296638293,0.48145620638678294,0.4592820439304388
multinomial_nb,5,0.2177279123956943,0.41486555817312315,0.25494180581518944
prototype_cosine,5,0.3807490435785689,0.4797916579962073,0.4806915589588279
