단계,Macro F1,σ,직전 대비,양수seed
GBV,0.41937,0.0018,—,—
+pair,0.45647,0.00185,+0.03710,3/3
+pair+marg,0.42556,0.00358,-0.03091,0/3
+pair+marg+S,0.42863,0.00166,+0.00307,3/3
