fold,epoch,phase,loss
2,14,train,2.4619874434710463
2,15,train,2.4589936674133805
2,16,train,2.440603768481912
2,17,train,2.4289532344059173
2,18,train,2.4314028546829856
2,19,train,2.395404752332629
2,20,train,2.4302248041660066
2,21,train,2.39334082454473
2,22,train,2.382850104583605
2,23,train,2.366003857868089
2,24,train,2.3679206910043975
2,25,train,2.390414534112999
2,26,train,2.3720769726492374
2,27,train,2.375511217540225
2,28,train,2.3653832775189785
2,29,train,2.345490210144252
2,30,train,2.3462460367844438
2,31,train,2.3539775213246577
2,32,train,2.339469125400121
2,33,train,2.334212092857307
2,34,train,2.3315743982876005
2,35,train,2.3363789819560927
2,36,train,2.31898118165971
2,37,train,2.3306659245966808
2,38,train,2.319486012744269
2,39,train,2.322268477180172
2,40,train,2.3045974315546425
2,41,train,2.32095797344024
2,42,train,2.314302362998727
2,43,train,2.3096150079337705
2,44,train,2.3077029221193897
2,45,train,2.3023053774115683
2,46,train,2.2990398257039675
2,47,train,2.3222546838411664
2,48,train,2.292652825438383
2,49,train,2.294895881896201
2,50,train,2.2846990243919048
2,51,train,2.303456462263412
2,52,train,2.2873800295395514
2,53,train,2.2888481168587393
2,54,train,2.277832497658448
2,55,train,2.278699441629897
2,56,train,2.2818626173800265
2,57,train,2.2859202163206476
2,58,train,2.290243664039669
2,59,train,2.2742301329709043
2,60,train,2.2721021762179694
3,1,train,3.044967426933653
3,2,train,2.8178867758870294
3,3,train,2.653449978614089
3,4,train,2.59579736214207
3,5,train,2.5929289118846177
3,6,train,2.551858046438828
3,7,train,2.511249364131258
3,8,train,2.5037847260173542
3,9,train,2.486865564883416
3,10,train,2.499446816656816
3,11,train,2.456651694590563
3,12,train,2.456562818238101
3,13,train,2.44660257716449
3,14,train,2.4368653470915764
3,15,train,2.4633477767901275
3,16,train,2.4197799070927672
3,17,train,2.407317457648925
3,18,train,2.416312503853144
3,19,train,2.417132190676664
3,20,train,2.3861612109161388
3,21,train,2.417320782608189
3,22,train,2.3778206304878124
3,23,train,2.404225276857825
3,24,train,2.375190365773443
3,25,train,2.3880948359580367
3,26,train,2.37329269882845
3,27,train,2.358129952180244
3,28,train,2.352755896340116
3,29,train,2.3616983563254568
3,30,train,2.342100373248712
3,31,train,2.364312993160925
3,32,train,2.342526917543125
3,33,train,2.329434399209756
3,34,train,2.3278679902984645
3,35,train,2.3248201940021698
3,36,train,2.3144777699647183
3,37,train,2.3337170141547277
3,38,train,2.323444165281893
3,39,train,2.312937432684934
3,40,train,2.310937825097021
3,41,train,2.304282711196681
3,42,train,2.3074489550541495
3,43,train,2.308502042180611
3,44,train,2.309686738861782
3,45,train,2.2892166629142277
3,46,train,2.3093191213459767
3,47,train,2.2933529726657818
3,48,train,2.2894749755317276
3,49,train,2.3043180031537096
3,50,train,2.287387491930543
3,51,train,2.2830074023777525
3,52,train,2.2801688596429037
3,53,train,2.270794421908981
3,54,train,2.2896213134049743
3,55,train,2.2738495852000002
3,56,train,2.283775265095239
3,57,train,2.265940395436732
3,58,train,2.2695046984075273
3,59,train,2.2835762260950663
3,60,train,2.2843373361986217
4,1,train,3.144375667771945
4,2,train,2.9734940127580547
4,3,train,2.7075168361252437
4,4,train,2.633340958360942
4,5,train,2.5990795436296654
4,6,train,2.5673855230515583
4,7,train,2.5731493103194203
4,8,train,2.552434864507474
4,9,train,2.510643881671108
4,10,train,2.494002933825151
4,11,train,2.4799620105095195
4,12,train,2.457484295929999
4,13,train,2.4423399630921234
4,14,train,2.4662344898098154
4,15,train,2.4522786297593426
4,16,train,2.4189538053629067
4,17,train,2.4368981239032035
4,18,train,2.4095959108795184
4,19,train,2.408503630785566
4,20,train,2.4286171887772046
4,21,train,2.4062368054708103
4,22,train,2.3848914240810375
4,23,train,2.3845736566653923
4,24,train,2.375088087999636
4,25,train,2.372418460911307
4,26,train,2.386531250031334
4,27,train,2.369544191145171
4,28,train,2.3638743005724496
4,29,train,2.351823097562338
4,30,train,2.342096832869779
4,31,train,2.3652338092064236
4,32,train,2.3448280899353118
4,33,train,2.3419137026989225
4,34,train,2.333269606720798
4,35,train,2.3473685923854903
4,36,train,2.341782236647111
4,37,train,2.3301291655110052
4,38,train,2.345030253607764
4,39,train,2.3255093578272494
4,40,train,2.3159168960826575
4,41,train,2.3357597960264687
4,42,train,2.310302570158857
4,43,train,2.308961064890973
4,44,train,2.3245902967366496
4,45,train,2.3215290136669844
4,46,train,2.328320307203945
4,47,train,2.3083921306389423
4,48,train,2.302462642410546
4,49,train,2.2950971886843017
4,50,train,2.311071104591014
4,51,train,2.29463219647445
4,52,train,2.301017177078518
4,53,train,2.289371300935505
4,54,train,2.290097908492147
4,55,train,2.2984558199471317
4,56,train,2.309591154854184
4,57,train,2.2750007828933727
4,58,train,2.2894115910561808
4,59,train,2.2875456050191523
4,60,train,2.2808362537996105
5,1,train,3.1432893283903973
5,2,train,2.86366922363738
5,3,train,2.701511977397009
5,4,train,2.627690099751942
5,5,train,2.596955949706047
5,6,train,2.545100443210844
5,7,train,2.5176106744945783
5,8,train,2.526724507937963
5,9,train,2.511256668409545
5,10,train,2.541234412661389
5,11,train,2.48348701930147
5,12,train,2.482139168283531
5,13,train,2.457819310341889
5,14,train,2.4925216823978498
5,15,train,2.4477516357227334
5,16,train,2.43754374661337
5,17,train,2.427389889516986
5,18,train,2.439727214814386
5,19,train,2.4324846213874594
5,20,train,2.401696435339723
5,21,train,2.420037189766996
5,22,train,2.402331643949423
5,23,train,2.396108909182865
5,24,train,2.422193593446393
5,25,train,2.373278011648051
5,26,train,2.3846432943061533
5,27,train,2.37313528744306
5,28,train,2.358203053258163
5,29,train,2.3621589725619723
5,30,train,2.352877686999782
5,31,train,2.368150319238027
5,32,train,2.356848902289989
5,33,train,2.334709834821809
5,34,train,2.332138669368265
5,35,train,2.321812312465069
5,36,train,2.347516756820909
5,37,train,2.324336198447477
5,38,train,2.3018296390165127
5,39,train,2.336118227098046
5,40,train,2.339837398675151
5,41,train,2.30949411476795
5,42,train,2.316690435622926
5,43,train,2.3150667235678757
5,44,train,2.297610018191331
5,45,train,2.3080108842886258
5,46,train,2.310519995840296
5,47,train,2.293214231459178
5,48,train,2.2884643827564077
5,49,train,2.295413119493533
5,50,train,2.2777113122484467
5,51,train,2.2723624535179794
5,52,train,2.29657064981697
5,53,train,2.269990568222526
5,54,train,2.27183050509543
5,55,train,2.296772202616905
5,56,train,2.2852972101189635
5,57,train,2.2698426416049533
5,58,train,2.27943116372402
5,59,train,2.2870898380367968
5,60,train,2.275469195816311
