방법,K,Macro F1,σ,base 대비,증분σ,양수seed
freq,25,0.41557,0.00189,0.00355,0.00156,3/3
freq,50,0.41756,0.00223,0.00554,0.00124,3/3
freq,100,0.41838,0.00273,0.00636,0.001,3/3
disc,25,0.41387,0.00291,0.00185,0.00095,3/3
disc,50,0.41456,0.00272,0.00254,0.00114,3/3
disc,100,0.41555,0.00275,0.00354,0.00151,3/3
