variant,class,support,precision,recall,f1
H0_selective_EB,ACC,72,0.967741935483871,0.8333333333333334,0.8955223880597015
H0_selective_EB,BLCA,104,0.573170731707317,0.4519230769230769,0.5053763440860215
H0_selective_EB,BRCA,786,0.5481852315394243,0.5572519083969466,0.5526813880126183
H0_selective_EB,CESC,155,0.4608695652173913,0.3419354838709677,0.3925925925925926
H0_selective_EB,COAD,223,0.780373831775701,0.7488789237668162,0.7643020594965675
H0_selective_EB,DLBC,38,0.7727272727272727,0.4473684210526316,0.5666666666666667
H0_selective_EB,GBMLGG,461,0.6370558375634517,0.544468546637744,0.5871345029239766
H0_selective_EB,HNSC,223,0.42408376963350786,0.3632286995515695,0.391304347826087
H0_selective_EB,KIPAN,515,0.6592427616926503,0.574757281553398,0.6141078838174274
H0_selective_EB,KIRC,334,0.6246913580246913,0.7574850299401198,0.6847090663058186
H0_selective_EB,LAML,158,0.6099290780141844,0.5443037974683544,0.5752508361204013
H0_selective_EB,LGG,229,0.6136363636363636,0.7074235807860262,0.6572008113590264
H0_selective_EB,LIHC,158,0.46153846153846156,0.45569620253164556,0.4585987261146497
H0_selective_EB,LUAD,184,0.5,0.30978260869565216,0.3825503355704698
H0_selective_EB,LUSC,178,0.5130434782608696,0.6629213483146067,0.5784313725490197
H0_selective_EB,OV,253,0.39634146341463417,0.5138339920948617,0.4475043029259897
H0_selective_EB,PAAD,120,0.4528301886792453,0.4,0.4247787610619469
H0_selective_EB,PCPG,147,0.3031674208144796,0.4557823129251701,0.3641304347826087
H0_selective_EB,PRAD,266,0.35260115606936415,0.45864661654135336,0.39869281045751637
H0_selective_EB,SARC,198,0.225130890052356,0.21717171717171718,0.2210796915167095
H0_selective_EB,SKCM,276,0.9623430962343096,0.8333333333333334,0.8932038834951457
H0_selective_EB,STES,379,0.5342789598108747,0.5963060686015831,0.5635910224438903
H0_selective_EB,TGCT,124,0.6796875,0.7016129032258065,0.6904761904761905
H0_selective_EB,THCA,324,0.8049792531120332,0.5987654320987654,0.6867256637168142
H0_selective_EB,THYM,98,0.2289156626506024,0.3877551020408163,0.2878787878787879
H0_selective_EB,UCEC,198,0.7068965517241379,0.6212121212121212,0.6612903225806451
prototype_similarity,ACC,72,0.0,0.0,0.0
prototype_similarity,BLCA,104,0.0,0.0,0.0
prototype_similarity,BRCA,786,0.12716388933829478,1.0,0.2256351370747811
prototype_similarity,CESC,155,0.0,0.0,0.0
prototype_similarity,COAD,223,0.0,0.0,0.0
prototype_similarity,DLBC,38,0.0,0.0,0.0
prototype_similarity,GBMLGG,461,0.0,0.0,0.0
prototype_similarity,HNSC,223,0.0,0.0,0.0
prototype_similarity,KIPAN,515,0.0,0.0,0.0
prototype_similarity,KIRC,334,0.0,0.0,0.0
prototype_similarity,LAML,158,0.0,0.0,0.0
prototype_similarity,LGG,229,0.0,0.0,0.0
prototype_similarity,LIHC,158,0.0,0.0,0.0
prototype_similarity,LUAD,184,0.0,0.0,0.0
prototype_similarity,LUSC,178,0.0,0.0,0.0
prototype_similarity,OV,253,0.0,0.0,0.0
prototype_similarity,PAAD,120,0.0,0.0,0.0
prototype_similarity,PCPG,147,0.0,0.0,0.0
prototype_similarity,PRAD,266,0.0,0.0,0.0
prototype_similarity,SARC,198,0.0,0.0,0.0
prototype_similarity,SKCM,276,0.0,0.0,0.0
prototype_similarity,STES,379,0.0,0.0,0.0
prototype_similarity,TGCT,124,0.0,0.0,0.0
prototype_similarity,THCA,324,0.95,0.05864197530864197,0.11046511627906977
prototype_similarity,THYM,98,0.0,0.0,0.0
prototype_similarity,UCEC,198,0.0,0.0,0.0
H0_plus_prototype,ACC,72,0.967741935483871,0.8333333333333334,0.8955223880597015
H0_plus_prototype,BLCA,104,0.5949367088607594,0.4519230769230769,0.5136612021857924
H0_plus_prototype,BRCA,786,0.5124434389140271,0.5763358778625954,0.5425149700598803
H0_plus_prototype,CESC,155,0.46788990825688076,0.32903225806451614,0.38636363636363635
H0_plus_prototype,COAD,223,0.784037558685446,0.7488789237668162,0.7660550458715596
H0_plus_prototype,DLBC,38,0.7727272727272727,0.4473684210526316,0.5666666666666667
H0_plus_prototype,GBMLGG,461,0.63,0.5466377440347071,0.5853658536585366
H0_plus_prototype,HNSC,223,0.43010752688172044,0.35874439461883406,0.39119804400978
H0_plus_prototype,KIPAN,515,0.648068669527897,0.5864077669902913,0.6156982670744139
H0_plus_prototype,KIRC,334,0.635678391959799,0.7574850299401198,0.6912568306010929
H0_plus_prototype,LAML,158,0.6131386861313869,0.5316455696202531,0.5694915254237288
H0_plus_prototype,LGG,229,0.6168582375478927,0.7030567685589519,0.6571428571428571
H0_plus_prototype,LIHC,158,0.4965034965034965,0.44936708860759494,0.4717607973421927
H0_plus_prototype,LUAD,184,0.5135135135135135,0.30978260869565216,0.3864406779661017
H0_plus_prototype,LUSC,178,0.5154185022026432,0.6573033707865169,0.5777777777777777
H0_plus_prototype,OV,253,0.396875,0.5019762845849802,0.4432809773123909
H0_plus_prototype,PAAD,120,0.4752475247524752,0.4,0.4343891402714932
H0_plus_prototype,PCPG,147,0.2955665024630542,0.40816326530612246,0.34285714285714286
H0_plus_prototype,PRAD,266,0.35311572700296734,0.4473684210526316,0.3946932006633499
H0_plus_prototype,SARC,198,0.21264367816091953,0.18686868686868688,0.1989247311827957
H0_plus_prototype,SKCM,276,0.9623430962343096,0.8333333333333334,0.8932038834951457
H0_plus_prototype,STES,379,0.531322505800464,0.604221635883905,0.5654320987654321
H0_plus_prototype,TGCT,124,0.6935483870967742,0.6935483870967742,0.6935483870967742
H0_plus_prototype,THCA,324,0.8016528925619835,0.5987654320987654,0.6855123674911661
H0_plus_prototype,THYM,98,0.2331288343558282,0.3877551020408163,0.29118773946360155
H0_plus_prototype,UCEC,198,0.7218934911242604,0.6161616161616161,0.6648501362397821
