seed,variant,class,precision,recall,f1,support
42,H0_selective_EB,ACC,0.967741935483871,0.8333333333333334,0.8955223880597015,72
42,H0_selective_EB,BLCA,0.573170731707317,0.4519230769230769,0.5053763440860215,104
42,H0_selective_EB,BRCA,0.5481852315394243,0.5572519083969466,0.5526813880126183,786
42,H0_selective_EB,CESC,0.4608695652173913,0.3419354838709677,0.3925925925925926,155
42,H0_selective_EB,COAD,0.780373831775701,0.7488789237668162,0.7643020594965675,223
42,H0_selective_EB,DLBC,0.7727272727272727,0.4473684210526316,0.5666666666666667,38
42,H0_selective_EB,GBMLGG,0.6370558375634517,0.544468546637744,0.5871345029239766,461
42,H0_selective_EB,HNSC,0.4240837696335078,0.3632286995515695,0.391304347826087,223
42,H0_selective_EB,KIPAN,0.6592427616926503,0.574757281553398,0.6141078838174274,515
42,H0_selective_EB,KIRC,0.6246913580246913,0.7574850299401198,0.6847090663058186,334
42,H0_selective_EB,LAML,0.6099290780141844,0.5443037974683544,0.5752508361204013,158
42,H0_selective_EB,LGG,0.6136363636363636,0.7074235807860262,0.6572008113590264,229
42,H0_selective_EB,LIHC,0.4615384615384615,0.4556962025316455,0.4585987261146497,158
42,H0_selective_EB,LUAD,0.5,0.3097826086956521,0.3825503355704698,184
42,H0_selective_EB,LUSC,0.5130434782608696,0.6629213483146067,0.5784313725490197,178
42,H0_selective_EB,OV,0.3963414634146341,0.5138339920948617,0.4475043029259897,253
42,H0_selective_EB,PAAD,0.4528301886792453,0.4,0.4247787610619469,120
42,H0_selective_EB,PCPG,0.3031674208144796,0.4557823129251701,0.3641304347826087,147
42,H0_selective_EB,PRAD,0.3526011560693641,0.4586466165413533,0.3986928104575163,266
42,H0_selective_EB,SARC,0.225130890052356,0.2171717171717171,0.2210796915167095,198
42,H0_selective_EB,SKCM,0.9623430962343096,0.8333333333333334,0.8932038834951457,276
42,H0_selective_EB,STES,0.5342789598108747,0.5963060686015831,0.5635910224438903,379
42,H0_selective_EB,TGCT,0.6796875,0.7016129032258065,0.6904761904761905,124
42,H0_selective_EB,THCA,0.8049792531120332,0.5987654320987654,0.6867256637168142,324
42,H0_selective_EB,THYM,0.2289156626506024,0.3877551020408163,0.2878787878787879,98
42,H0_selective_EB,UCEC,0.7068965517241379,0.6212121212121212,0.6612903225806451,198
42,exact_event_EB,ACC,0.918918918918919,0.9444444444444444,0.9315068493150684,72
42,exact_event_EB,BLCA,0.5,0.4230769230769231,0.4583333333333333,104
42,exact_event_EB,BRCA,0.5967957276368492,0.5687022900763359,0.5824104234527687,786
42,exact_event_EB,CESC,0.4354838709677419,0.3483870967741935,0.3870967741935484,155
42,exact_event_EB,COAD,0.7723214285714286,0.7757847533632287,0.7740492170022372,223
42,exact_event_EB,DLBC,0.8214285714285714,0.6052631578947368,0.696969696969697,38
42,exact_event_EB,GBMLGG,0.7168367346938775,0.6095444685466378,0.6588511137162955,461
42,exact_event_EB,HNSC,0.4378378378378378,0.3632286995515695,0.3970588235294117,223
42,exact_event_EB,KIPAN,0.7092511013215859,0.625242718446602,0.6646026831785345,515
42,exact_event_EB,KIRC,0.7024128686327078,0.7844311377245509,0.7411598302687411,334
42,exact_event_EB,LAML,0.6323529411764706,0.5443037974683544,0.5850340136054422,158
42,exact_event_EB,LGG,0.7209302325581395,0.8122270742358079,0.7638603696098563,229
42,exact_event_EB,LIHC,0.4583333333333333,0.4873417721518987,0.4723926380368098,158
42,exact_event_EB,LUAD,0.4833333333333333,0.3152173913043478,0.3815789473684211,184
42,exact_event_EB,LUSC,0.5164319248826291,0.6179775280898876,0.5626598465473146,178
42,exact_event_EB,OV,0.3949843260188088,0.4980237154150198,0.4405594405594406,253
42,exact_event_EB,PAAD,0.4071428571428571,0.475,0.4384615384615384,120
42,exact_event_EB,PCPG,0.3511111111111111,0.5374149659863946,0.4247311827956989,147
42,exact_event_EB,PRAD,0.3618233618233618,0.4774436090225564,0.4116693679092382,266
42,exact_event_EB,SARC,0.2349397590361445,0.1969696969696969,0.2142857142857142,198
42,exact_event_EB,SKCM,0.9435483870967742,0.8478260869565217,0.8931297709923665,276
42,exact_event_EB,STES,0.5739348370927319,0.604221635883905,0.5886889460154242,379
42,exact_event_EB,TGCT,0.6642857142857143,0.75,0.7045454545454546,124
42,exact_event_EB,THCA,0.805668016194332,0.6141975308641975,0.6970227670753065,324
42,exact_event_EB,THYM,0.2386363636363636,0.4285714285714285,0.3065693430656934,98
