seed,fold,variant,macro_f1,accuracy,feature_count,exact_vocabulary_size
777,1,H0_selective_EB,0.553065295946923,0.5632554391619662,8249,189026
777,1,exact_event_EB,0.5687769560480086,0.5874294923448832,8275,189026
777,2,H0_selective_EB,0.5142909851951584,0.5370967741935484,8194,178726
777,2,exact_event_EB,0.5451174398875437,0.5790322580645161,8220,178726
777,3,H0_selective_EB,0.5577833884687313,0.5653225806451613,8250,192949
777,3,exact_event_EB,0.5635948151650767,0.5790322580645161,8276,192949
777,4,H0_selective_EB,0.5420945733421899,0.5516129032258065,8196,183292
777,4,exact_event_EB,0.5706795685833207,0.5846774193548387,8222,183292
777,5,H0_selective_EB,0.5415197366983542,0.5596774193548387,8183,176440
777,5,exact_event_EB,0.5696704147664863,0.5903225806451613,8209,176440
