fold,macro_f1,feature_count,variant
1,0.5164201147335064,8231,eb
2,0.523675584294186,8176,eb
3,0.5380984926442527,8232,eb
4,0.548924715855603,8178,eb
5,0.5415104836645045,8165,eb
