fold,macro_f1,feature_count,variant
1,0.5196053304107668,8160,pair
2,0.5196929230726468,8203,pair
3,0.5212629122944247,8169,pair
4,0.5321150885252636,8249,pair
5,0.5487304558228764,8225,pair
