fold,macro_f1,feature_count,variant
1,0.5326069787571384,8203,eb
2,0.5161059788577763,8189,eb
3,0.5439191996667496,8176,eb
4,0.5354673778706661,8208,eb
5,0.5307991030289424,8229,eb
