fold,macro_f1,feature_count,variant
1,0.5118048073750948,8160,eb
2,0.5442776988766616,8203,eb
3,0.5302623182223564,8169,eb
4,0.5521995390607782,8249,eb
5,0.5326302995040334,8225,eb
