variant,oof_macro_f1,feature_count,convergence_warning_count,leakage_check,nan_as_mutation_count,runtime_seconds
P1 multinomial LR,0.527549997670646,8201.2,0,True,0,2064.81645488739
pair,0.5283536689091493,8201.2,0,True,0,2064.8270180225372
