variant,oof_macro_f1,feature_count,convergence_warning_count,leakage_check,nan_as_mutation_count,runtime_seconds
P1 multinomial LR,0.527549997670646,8201.2,0,True,0,78.84715604782104
eb,0.5339547563214375,8201.2,0,True,0,78.85513305664062
