variant,oof_macro_f1,feature_count,convergence_warning_count,leakage_check,nan_as_mutation_count,runtime_seconds
P1 multinomial LR,0.527549997670646,8201.2,0,True,0,57.138851165771484
ovr,0.5214497429786502,8201.2,0,True,0,57.14682126045227
