true_class,predicted_class,count
SARC,KIRC,2
SARC,LAML,2
PAAD,THYM,2
THYM,HNSC,2
TGCT,PCPG,2
TGCT,LIHC,2
UCEC,CESC,2
SKCM,KIRC,2
UCEC,LUSC,2
TGCT,CESC,2
PRAD,THCA,2
PRAD,TGCT,2
SKCM,CESC,2
UCEC,KIRC,2
SKCM,TGCT,2
PRAD,PAAD,2
THCA,PAAD,2
UCEC,TGCT,2
CESC,STES,2
LUAD,TGCT,2
KIPAN,CESC,2
CESC,KIRC,2
KIPAN,LAML,2
LIHC,PAAD,2
LIHC,LGG,2
LIHC,COAD,2
LIHC,CESC,2
KIPAN,LUSC,2
CESC,LUAD,2
LGG,SARC,2
LGG,PRAD,2
GBMLGG,THCA,2
DLBC,LUSC,2
DLBC,LUAD,2
DLBC,HNSC,2
LGG,CESC,2
KIRC,LAML,2
LAML,LGG,2
COAD,SARC,2
LUAD,PAAD,2
BRCA,THCA,2
HNSC,THYM,2
ACC,TGCT,2
HNSC,LAML,2
LUSC,BLCA,2
PAAD,LUSC,2
BRCA,LGG,2
ACC,KIPAN,2
BRCA,COAD,2
KIPAN,ACC,2
OV,GBMLGG,2
DLBC,SARC,2
PAAD,GBMLGG,2
LUSC,THYM,2
ACC,LIHC,2
GBMLGG,KIRC,1
TGCT,ACC,1
DLBC,BRCA,1
TGCT,STES,1
TGCT,UCEC,1
TGCT,PAAD,1
TGCT,LAML,1
STES,PCPG,1
GBMLGG,HNSC,1
DLBC,PCPG,1
DLBC,OV,1
DLBC,UCEC,1
DLBC,THYM,1
DLBC,PAAD,1
TGCT,GBMLGG,1
THCA,CESC,1
DLBC,PRAD,1
COAD,THCA,1
PAAD,PCPG,1
THCA,COAD,1
BRCA,SKCM,1
UCEC,PCPG,1
BLCA,GBMLGG,1
BLCA,OV,1
BLCA,PCPG,1
BLCA,PRAD,1
UCEC,KIPAN,1
BLCA,TGCT,1
BLCA,UCEC,1
BRCA,ACC,1
THYM,THCA,1
THYM,TGCT,1
THYM,STES,1
CESC,GBMLGG,1
THCA,GBMLGG,1
THYM,KIRC,1
CESC,LAML,1
THYM,GBMLGG,1
THYM,BRCA,1
THCA,UCEC,1
THCA,SKCM,1
CESC,TGCT,1
COAD,BLCA,1
COAD,BRCA,1
COAD,LUSC,1
THCA,OV,1
COAD,PCPG,1
GBMLGG,LUSC,1
STES,BLCA,1
HNSC,DLBC,1
LUAD,THYM,1
LGG,PCPG,1
SARC,HNSC,1
LGG,TGCT,1
SARC,COAD,1
LGG,THCA,1
LIHC,SKCM,1
PRAD,STES,1
LIHC,THYM,1
LUAD,BLCA,1
ACC,HNSC,1
LUAD,KIRC,1
LUAD,SKCM,1
LUAD,THCA,1
LUSC,CESC,1
LGG,PAAD,1
PRAD,DLBC,1
PRAD,COAD,1
PRAD,CESC,1
LUSC,DLBC,1
LUSC,SKCM,1
LUSC,UCEC,1
OV,CESC,1
OV,COAD,1
PCPG,OV,1
OV,THCA,1
OV,UCEC,1
PAAD,BRCA,1
PAAD,KIPAN,1
SARC,LGG,1
SARC,LUSC,1
HNSC,KIRC,1
SKCM,LUSC,1
STES,LAML,1
STES,KIRC,1
HNSC,PRAD,1
STES,GBMLGG,1
STES,DLBC,1
HNSC,SKCM,1
PAAD,SARC,1
STES,ACC,1
SKCM,THYM,1
KIPAN,COAD,1
SKCM,STES,1
SKCM,PCPG,1
SKCM,OV,1
SKCM,LUAD,1
LGG,OV,1
KIPAN,THCA,1
SKCM,LAML,1
KIRC,CESC,1
SKCM,GBMLGG,1
SKCM,COAD,1
KIRC,LGG,1
SKCM,BRCA,1
KIRC,LUSC,1
KIRC,STES,1
LAML,CESC,1
SARC,STES,1
LAML,TGCT,1
LGG,LIHC,1
ACC,COAD,1
