fold,macro_f1,feature_count,variant
1,0.5121642675376109,8160,eb
2,0.5449094457770758,8203,eb
3,0.5311185609648722,8169,eb
4,0.5516201855406657,8249,eb
5,0.5320131088982448,8225,eb
