variant,seed_count,oof_macro_f1_mean,oof_macro_f1_std,feature_count_mean,convergence_warning_count_sum,leakage_check_all,nan_as_mutation_count_max,paired_delta_mean,paired_delta_std,paired_delta_all_positive
P1 multinomial LR,3,0.5262221385780601,0.0012339341496334282,8199.533333333333,0,True,0,0.00751733548953785,0.0015464582443028695,True
eb,3,0.5337394740675979,0.001667489878510934,8199.533333333333,0,True,0,0.00751733548953785,0.0015464582443028695,True
