fold,macro_f1,feature_count,variant
1,0.5029126307754572,8160,ovr
2,0.5388847246702931,8203,ovr
3,0.5015348849464684,8169,ovr
4,0.5377522921459081,8249,ovr
5,0.5219942726397478,8225,ovr
