variant,oof_macro_f1,feature_count,convergence_warning_count,leakage_check,nan_as_mutation_count,runtime_seconds
P1 multinomial LR,0.527549997670646,8201.2,0,True,0,212.98695516586304
dense,0.381396396088224,45.0,0,True,0,212.9951000213623
