variant,oof_macro_f1,feature_count,convergence_warning_count,leakage_check,nan_as_mutation_count,runtime_seconds,seed,paired_delta_vs_p1
P1 multinomial LR,0.527549997670646,8201.2,0,True,0,78.84715604782104,42,0.006404758650791487
eb,0.5339547563214375,8201.2,0,True,0,78.85513305664062,42,0.006404758650791487
P1 multinomial LR,0.5260056307101749,8196.4,0,True,0,79.93544793128967,777,0.009283236526564376
eb,0.5352888672367393,8196.4,0,True,0,79.94392085075378,777,0.009283236526564376
P1 multinomial LR,0.5251107873533594,8201.0,0,True,0,78.13018012046814,2024,0.006864011291257688
eb,0.531974798644617,8201.0,0,True,0,78.13790798187256,2024,0.006864011291257688
