alpha,inner_oof_macro_f1,seed,fold
0.1,0.5034502231648642,42,1
0.2,0.5033275890031634,42,1
0.1,0.5011970093122656,42,2
0.2,0.5002796076699391,42,2
0.2,0.5007186096698777,42,3
0.1,0.4993422967295809,42,3
0.2,0.4918285681798413,42,4
0.1,0.49145238452367496,42,4
0.2,0.4988865953843552,42,5
0.1,0.4985586191453395,42,5
