C,Macro F1,σ,Accuracy,미수렴,C=0.1 대비,양수 seed
0.03,0.37538,0.00114,0.36859,0/15,-0.00607,0/3
0.05,0.38097,0.00361,0.37338,0/15,-0.00049,1/3
0.1,0.38145,0.00206,0.37268,0/15,,
0.2,0.37233,0.00298,0.36381,0/15,-0.00912,0/3
0.5,0.35109,0.00321,0.34532,0/15,-0.03036,0/3
