fold,group_id,classes,size,fit_support,used
1,1,BLCA|BRCA|CESC|GBMLGG|HNSC|KIPAN|KIRC|LAML|LGG|LIHC|LUAD|LUSC|OV|PAAD|PCPG|PRAD|SARC|STES|THCA|THYM|UCEC,21,4374,True
2,2,BRCA|CESC|COAD|GBMLGG|HNSC|KIPAN|KIRC|LAML|LGG|LIHC|LUAD|LUSC|OV|PAAD|PCPG|PRAD|SARC|STES|THCA|THYM|UCEC,21,4469,True
3,2,BRCA|CESC|COAD|GBMLGG|HNSC|KIPAN|KIRC|LAML|LGG|LIHC|LUAD|LUSC|OV|PAAD|PCPG|PRAD|SARC|STES|THCA|THYM|UCEC,21,4470,True
4,2,BRCA|CESC|COAD|GBMLGG|HNSC|KIPAN|KIRC|LAML|LGG|LIHC|LUAD|LUSC|OV|PAAD|PCPG|PRAD|SARC|STES|THCA|THYM|UCEC,21,4471,True
5,2,BRCA|CESC|COAD|GBMLGG|HNSC|KIPAN|KIRC|LAML|LGG|LIHC|LUAD|LUSC|OV|PAAD|PCPG|PRAD|SARC|STES|THCA|THYM|UCEC,21,4469,True
