variant,outer_split_seed,model_seed_count,oof_macro_f1,oof_accuracy,feature_count_mean,convergence_warning_count,leakage_check,nan_as_mutation_count,runtime_seconds,delta_vs_seed42_same_folds
seed_42,42,1,0.5479146612629726,0.5589421061119174,8219.2,0,True,0,3640.6628378750174,0.0
seed_777,42,1,0.5427205299935345,0.5576519916142557,8219.2,0,True,0,3640.6937510829885,-0.005194131269438129
seed_2024,42,1,0.5435519895121711,0.5562006128043864,8219.2,0,True,0,3640.7159911670024,-0.004362671750801517
fold_aligned_bagged,42,3,0.5460912634396528,0.5594258990485406,8219.2,0,True,0,3640.7394294579863,-0.0018233978233198611
