variant,oof_macro_f1,oof_accuracy,feature_count,convergence_warning_count,leakage_check,nan_as_mutation_count,runtime_seconds,delta_vs_h0
H0_selective_EB,0.5479146612629726,0.5589421061119174,8219.2,0,True,0,1575.0565800420009,0.0
OVR_EB_LR,0.5311337040457369,0.548137397194001,8219.2,0,True,0,1575.0572874579811,-0.016780957217235715
