outer_split_seed,model_seed,fold,variant,macro_f1,accuracy,feature_count,convergence_warning_count
42.0,42.0,1,seed_42,0.528516470887176,0.5439161966156325,8178.0,0.0
42.0,777.0,1,seed_777,0.5208794022522981,0.5447219983883964,8178.0,0.0
42.0,2024.0,1,seed_2024,0.5170820847812354,0.5334407735697019,8178.0,0.0
42.0,42.0,2,seed_42,0.5518911944485894,0.5661290322580645,8221.0,0.0
42.0,777.0,2,seed_777,0.5513645315079289,0.5637096774193548,8221.0,0.0
42.0,2024.0,2,seed_2024,0.5422618314616768,0.5556451612903226,8221.0,0.0
42.0,42.0,3,seed_42,0.5434490629256266,0.5475806451612903,8187.0,0.0
42.0,777.0,3,seed_777,0.5248551960262933,0.5419354838709678,8187.0,0.0
42.0,2024.0,3,seed_2024,0.5459819269926186,0.5475806451612903,8187.0,0.0
42.0,42.0,4,seed_42,0.5547587960574124,0.5693548387096774,8267.0,0.0
42.0,777.0,4,seed_777,0.5507202311905622,0.5709677419354838,8267.0,0.0
42.0,2024.0,4,seed_2024,0.5529581451932207,0.5774193548387097,8267.0,0.0
42.0,42.0,5,seed_42,0.5584993408995549,0.567741935483871,8243.0,0.0
42.0,777.0,5,seed_777,0.5664463877715753,0.5669354838709677,8243.0,0.0
42.0,2024.0,5,seed_2024,0.5577488907719966,0.5669354838709677,8243.0,0.0
,,1,seed_42,0.528516470887176,0.5439161966156325,,
,,1,fold_aligned_bagged,0.526070105504687,0.5431103948428686,,
,,2,seed_42,0.5518911944485894,0.5661290322580645,,
,,2,fold_aligned_bagged,0.5537893086373151,0.5645161290322581,,
,,3,seed_42,0.5434490629256266,0.5475806451612903,,
,,3,fold_aligned_bagged,0.5320457268917637,0.5419354838709678,,
,,4,seed_42,0.5547587960574124,0.5693548387096774,,
,,4,fold_aligned_bagged,0.5513718411397297,0.575,,
,,5,seed_42,0.5584993408995549,0.567741935483871,,
,,5,fold_aligned_bagged,0.567138821578405,0.5725806451612904,,
