experiment_id,model,seed,tfidf_min_df,tfidf_sublinear_tf,primary_oof_macro_f1,event_tfidf_oof_macro_f1,blend_0p5_oof_macro_f1,delta_blend_vs_primary,primary_oof_accuracy,event_tfidf_oof_accuracy,blend_0p5_oof_accuracy,feature_count_mean,tfidf_vocabulary_size_mean,runtime_seconds,primary_convergence_warning_count,tfidf_convergence_warning_count,convergence_warning_count,leakage_check,nan_as_mutation_count
H-AS-LR-exact-confusion-pairs-Apair-log1p,logistic,42,3,True,0.4781416884648803,0.3782884640237529,0.4794557135599829,0.0013140250951025,0.4587969682309304,0.3971940009675859,0.4599258184163844,8175.2,5875.8,204.58974695899815,0,0,0,True,0
H-AS-LR-exact-confusion-pairs-Apair-log1p,logistic,777,3,True,0.481145738774279,0.3705716160280971,0.4843660033635178,0.0032202645892388,0.4613771972262538,0.3913884857281083,0.4641186905337848,8170.4,5869.6,190.9427847499901,0,0,0,True,0
H-AS-LR-exact-confusion-pairs-Apair-log1p,logistic,2024,3,True,0.4762175133106753,0.3783457002361224,0.4770919206532897,0.0008744073426144,0.4594420254797613,0.397677793904209,0.4591194968553459,8175.0,5868.4,200.3773915000056,0,0,0,True,0
