variant,class,precision,recall,f1-score,support
primary,ACC,0.9016393442622951,0.7638888888888888,0.8270676691729323,72.0
primary,BLCA,0.5294117647058824,0.4326923076923077,0.47619047619047616,104.0
primary,BRCA,0.766497461928934,0.3842239185750636,0.511864406779661,786.0
primary,CESC,0.375,0.4838709677419355,0.4225352112676056,155.0
primary,COAD,0.8163265306122449,0.7174887892376681,0.7637231503579952,223.0
primary,DLBC,0.53125,0.4473684210526316,0.4857142857142857,38.0
primary,GBMLGG,0.57847533632287,0.279826464208243,0.37719298245614036,461.0
primary,HNSC,0.40816326530612246,0.35874439461883406,0.3818615751789976,223.0
primary,KIPAN,0.2849462365591398,0.2058252427184466,0.23900789177001128,515.0
primary,KIRC,0.23333333333333334,0.25149700598802394,0.2420749279538905,334.0
primary,LAML,0.44502617801047123,0.5379746835443038,0.4871060171919771,158.0
primary,LGG,0.4471299093655589,0.6462882096069869,0.5285714285714286,229.0
primary,LIHC,0.41040462427745666,0.44936708860759494,0.42900302114803623,158.0
primary,LUAD,0.46616541353383456,0.33695652173913043,0.3911671924290221,184.0
primary,LUSC,0.5611111111111111,0.5674157303370787,0.5642458100558659,178.0
primary,OV,0.3648960739030023,0.6245059288537549,0.4606413994169096,253.0
primary,PAAD,0.3333333333333333,0.5916666666666667,0.4264264264264264,120.0
primary,PCPG,0.21330275229357798,0.6326530612244898,0.3190394511149228,147.0
primary,PRAD,0.2744630071599045,0.4323308270676692,0.3357664233576642,266.0
primary,SARC,0.25333333333333335,0.1919191919191919,0.21839080459770116,198.0
primary,SKCM,0.9578059071729957,0.822463768115942,0.884990253411306,276.0
primary,STES,0.6071428571428571,0.49340369393139843,0.5443959243085881,379.0
primary,TGCT,0.36363636363636365,0.7741935483870968,0.4948453608247423,124.0
primary,THCA,0.9068627450980392,0.5709876543209876,0.7007575757575758,324.0
primary,THYM,0.19457013574660634,0.4387755102040816,0.26959247648902823,98.0
primary,UCEC,0.6137566137566137,0.5858585858585859,0.599483204134367,198.0
event_tfidf,ACC,0.5775862068965517,0.9305555555555556,0.7127659574468085,72.0
event_tfidf,BLCA,0.18660287081339713,0.75,0.2988505747126437,104.0
event_tfidf,BRCA,0.8138801261829653,0.3282442748091603,0.46781504986400724,786.0
event_tfidf,CESC,0.23076923076923078,0.15483870967741936,0.18532818532818532,155.0
event_tfidf,COAD,0.49382716049382713,0.7174887892376681,0.5850091407678245,223.0
event_tfidf,DLBC,0.32142857142857145,0.7105263157894737,0.4426229508196721,38.0
event_tfidf,GBMLGG,0.625,0.07592190889370933,0.13539651837524178,461.0
event_tfidf,HNSC,0.5,0.05829596412556054,0.10441767068273092,223.0
event_tfidf,KIPAN,0.3173076923076923,0.06407766990291262,0.10662358642972536,515.0
event_tfidf,KIRC,0.36658354114713215,0.44011976047904194,0.4,334.0
event_tfidf,LAML,0.413265306122449,0.5126582278481012,0.4576271186440678,158.0
event_tfidf,LGG,0.4134831460674157,0.8034934497816594,0.5459940652818991,229.0
event_tfidf,LIHC,0.46153846153846156,0.379746835443038,0.4166666666666667,158.0
event_tfidf,LUAD,0.2826086956521739,0.14130434782608695,0.18840579710144928,184.0
event_tfidf,LUSC,0.32400932400932403,0.7808988764044944,0.45799011532125206,178.0
event_tfidf,OV,0.38222222222222224,0.33992094861660077,0.3598326359832636,253.0
event_tfidf,PAAD,0.24632352941176472,0.5583333333333333,0.34183673469387754,120.0
event_tfidf,PCPG,0.21212121212121213,0.47619047619047616,0.29350104821802936,147.0
event_tfidf,PRAD,0.33090909090909093,0.34210526315789475,0.3364140480591497,266.0
event_tfidf,SARC,0.13513513513513514,0.025252525252525252,0.0425531914893617,198.0
event_tfidf,SKCM,0.5218390804597701,0.822463768115942,0.6385372714486639,276.0
event_tfidf,STES,0.7530864197530864,0.32189973614775724,0.4510166358595194,379.0
event_tfidf,TGCT,0.34035087719298246,0.782258064516129,0.4743276283618582,124.0
event_tfidf,THCA,0.73046875,0.5771604938271605,0.6448275862068965,324.0
event_tfidf,THYM,0.1407035175879397,0.5714285714285714,0.22580645161290322,98.0
event_tfidf,UCEC,0.44366197183098594,0.6363636363636364,0.5228215767634855,198.0
blend_0p5,ACC,0.9032258064516129,0.7777777777777778,0.835820895522388,72.0
blend_0p5,BLCA,0.5172413793103449,0.4326923076923077,0.4712041884816754,104.0
blend_0p5,BRCA,0.7678571428571429,0.38295165394402036,0.5110356536502547,786.0
blend_0p5,CESC,0.3768844221105528,0.4838709677419355,0.423728813559322,155.0
blend_0p5,COAD,0.8121827411167513,0.7174887892376681,0.7619047619047619,223.0
blend_0p5,DLBC,0.5625,0.47368421052631576,0.5142857142857142,38.0
blend_0p5,GBMLGG,0.5753424657534246,0.27331887201735355,0.37058823529411766,461.0
blend_0p5,HNSC,0.41025641025641024,0.35874439461883406,0.3827751196172249,223.0
blend_0p5,KIPAN,0.28337874659400547,0.20194174757281552,0.23582766439909297,515.0
blend_0p5,KIRC,0.23140495867768596,0.25149700598802394,0.24103299856527977,334.0
blend_0p5,LAML,0.45901639344262296,0.5316455696202531,0.49266862170087977,158.0
blend_0p5,LGG,0.44510385756676557,0.6550218340611353,0.5300353356890459,229.0
blend_0p5,LIHC,0.41040462427745666,0.44936708860759494,0.42900302114803623,158.0
blend_0p5,LUAD,0.4626865671641791,0.33695652173913043,0.389937106918239,184.0
blend_0p5,LUSC,0.5611111111111111,0.5674157303370787,0.5642458100558659,178.0
blend_0p5,OV,0.3648960739030023,0.6245059288537549,0.4606413994169096,253.0
blend_0p5,PAAD,0.3242009132420091,0.5916666666666667,0.41887905604719766,120.0
blend_0p5,PCPG,0.21577726218097448,0.6326530612244898,0.3217993079584775,147.0
blend_0p5,PRAD,0.27577937649880097,0.4323308270676692,0.3367496339677892,266.0
blend_0p5,SARC,0.2585034013605442,0.1919191919191919,0.22028985507246376,198.0
blend_0p5,SKCM,0.9537815126050421,0.822463768115942,0.8832684824902723,276.0
blend_0p5,STES,0.6058631921824105,0.49076517150395776,0.5422740524781341,379.0
blend_0p5,TGCT,0.36363636363636365,0.7741935483870968,0.4948453608247423,124.0
blend_0p5,THCA,0.9068627450980392,0.5709876543209876,0.7007575757575758,324.0
blend_0p5,THYM,0.1956521739130435,0.45918367346938777,0.27439024390243905,98.0
blend_0p5,UCEC,0.6073298429319371,0.5858585858585859,0.596401028277635,198.0
