class,precision,recall,f1-score,support
ACC,0.7777777777777778,0.7777777777777778,0.7777777777777778,72.0
BLCA,0.44871794871794873,0.33653846153846156,0.38461538461538464,104.0
BRCA,0.6766743648960739,0.3727735368956743,0.4807219031993437,786.0
CESC,0.350253807106599,0.44516129032258067,0.39204545454545453,155.0
COAD,0.7570093457943925,0.726457399103139,0.7414187643020596,223.0
DLBC,0.3333333333333333,0.42105263157894735,0.37209302325581395,38.0
GBMLGG,0.5094339622641509,0.2928416485900217,0.371900826446281,461.0
HNSC,0.3787878787878788,0.336322869955157,0.35629453681710216,223.0
KIPAN,0.2553846153846154,0.16116504854368932,0.1976190476190476,515.0
KIRC,0.20789473684210527,0.23652694610778444,0.22128851540616246,334.0
LAML,0.3436293436293436,0.5632911392405063,0.42685851318944845,158.0
LGG,0.40978593272171254,0.5851528384279476,0.48201438848920863,229.0
LIHC,0.3888888888888889,0.4430379746835443,0.41420118343195267,158.0
LUAD,0.4315068493150685,0.3423913043478261,0.38181818181818183,184.0
LUSC,0.5170454545454546,0.5112359550561798,0.5141242937853108,178.0
OV,0.3393782383419689,0.5177865612648221,0.41001564945226915,253.0
PAAD,0.31221719457013575,0.575,0.4046920821114369,120.0
PCPG,0.20743034055727555,0.4557823129251701,0.2851063829787234,147.0
PRAD,0.27228915662650605,0.424812030075188,0.33186490455212925,266.0
SARC,0.19339622641509435,0.20707070707070707,0.2,198.0
SKCM,0.9372384937238494,0.8115942028985508,0.8699029126213592,276.0
STES,0.5709219858156028,0.42480211081794195,0.48714069591527986,379.0
TGCT,0.45454545454545453,0.6854838709677419,0.5466237942122186,124.0
THCA,0.8461538461538461,0.5771604938271605,0.6862385321100918,324.0
THYM,0.1638655462184874,0.3979591836734694,0.23214285714285715,98.0
UCEC,0.5810055865921788,0.5252525252525253,0.5517241379310345,198.0
