variant,class,class_f1_mean,class_f1_std,support
blend_multinomial_0p5,ACC,0.8478738023437797,0.018824065586827365,72.0
blend_multinomial_0p5,BLCA,0.46601291736478484,0.007473855981451498,104.0
blend_multinomial_0p5,BRCA,0.5145966773324461,0.004146474244753053,786.0
blend_multinomial_0p5,CESC,0.4297086223662227,0.020152152627926283,155.0
blend_multinomial_0p5,COAD,0.7531783645527721,0.00892041582278869,223.0
blend_multinomial_0p5,DLBC,0.5446938241125201,0.027318290104999577,38.0
blend_multinomial_0p5,GBMLGG,0.3749085896148432,0.005801770971260681,461.0
blend_multinomial_0p5,HNSC,0.38952794699680515,0.006012181698856032,223.0
blend_multinomial_0p5,KIPAN,0.2334800287204166,0.006810316843148741,515.0
blend_multinomial_0p5,KIRC,0.2495574228850903,0.012083968004647722,334.0
blend_multinomial_0p5,LAML,0.48992965060552257,0.013165848405419237,158.0
blend_multinomial_0p5,LGG,0.525792610283126,0.00540057328307386,229.0
blend_multinomial_0p5,LIHC,0.44646297717798217,0.015134622741061265,158.0
blend_multinomial_0p5,LUAD,0.40237167367622284,0.013774397305885623,184.0
blend_multinomial_0p5,LUSC,0.5673021825722012,0.007174332016910899,178.0
blend_multinomial_0p5,OV,0.45756616765336044,0.00632425899075352,253.0
blend_multinomial_0p5,PAAD,0.4228517391132556,0.00448212268287596,120.0
blend_multinomial_0p5,PCPG,0.31494771374850367,0.006924457874698428,147.0
blend_multinomial_0p5,PRAD,0.3402817731831196,0.0030730661501542425,266.0
blend_multinomial_0p5,SARC,0.2067167275031309,0.013288610761127376,198.0
blend_multinomial_0p5,SKCM,0.8840007775398236,0.004566218222761581,276.0
blend_multinomial_0p5,STES,0.5532608507954538,0.010990006183419951,379.0
blend_multinomial_0p5,TGCT,0.49611728477707856,0.00342852002337715,124.0
blend_multinomial_0p5,THCA,0.6988783031804914,0.0020888794350229947,324.0
blend_multinomial_0p5,THYM,0.2782225201311714,0.003531484325671395,98.0
blend_multinomial_0p5,UCEC,0.5996770441020592,0.0066503322882877835,198.0
blend_ovr_0p5,ACC,0.8491180669001889,0.023918085661941462,72.0
blend_ovr_0p5,BLCA,0.4701301215414578,0.002390202169110683,104.0
blend_ovr_0p5,BRCA,0.5165627392201508,0.0031496117969959446,786.0
blend_ovr_0p5,CESC,0.42913013190374505,0.014925290945909263,155.0
blend_ovr_0p5,COAD,0.7549560758586886,0.007150770266743543,223.0
blend_ovr_0p5,DLBC,0.5617404993371631,0.04055876941045523,38.0
blend_ovr_0p5,GBMLGG,0.3792471622042443,0.0070477685076364965,461.0
blend_ovr_0p5,HNSC,0.38675911894812565,0.00629111081352864,223.0
blend_ovr_0p5,KIPAN,0.23519833627484446,0.007750834299693134,515.0
blend_ovr_0p5,KIRC,0.2481145518367914,0.013632528676465578,334.0
blend_ovr_0p5,LAML,0.501501583897805,0.022982665891398527,158.0
blend_ovr_0p5,LGG,0.5173150514729186,0.012799865864398118,229.0
blend_ovr_0p5,LIHC,0.4537361456510392,0.010391145601849587,158.0
blend_ovr_0p5,LUAD,0.4032341292877691,0.015615489798271048,184.0
blend_ovr_0p5,LUSC,0.565929687498315,0.003820252584509607,178.0
blend_ovr_0p5,OV,0.4546564490457838,0.008992547501464544,253.0
blend_ovr_0p5,PAAD,0.42300867488702903,0.0063622740897814846,120.0
blend_ovr_0p5,PCPG,0.3184703565538118,0.005732093524584385,147.0
blend_ovr_0p5,PRAD,0.3433667710399275,0.008716297252518466,266.0
blend_ovr_0p5,SARC,0.2048625827142451,0.015585203556826528,198.0
blend_ovr_0p5,SKCM,0.8840007775398236,0.004566218222761581,276.0
blend_ovr_0p5,STES,0.5538432011384489,0.008194782498134809,379.0
blend_ovr_0p5,TGCT,0.5179160119542779,0.0030951396259356794,124.0
blend_ovr_0p5,THCA,0.701955289621646,0.0013292438852240823,324.0
blend_ovr_0p5,THYM,0.28256642025558154,0.005859231046923392,98.0
blend_ovr_0p5,UCEC,0.6040635006539485,0.007138649728384108,198.0
event_tfidf_multinomial,ACC,0.714291161442843,0.005536222643051645,72.0
event_tfidf_multinomial,BLCA,0.30128111250986844,0.004025186682190322,104.0
event_tfidf_multinomial,BRCA,0.4720466298604173,0.0036846190469070573,786.0
event_tfidf_multinomial,CESC,0.16771545571545568,0.02752240232227797,155.0
event_tfidf_multinomial,COAD,0.581353542402296,0.0031791660959438373,223.0
event_tfidf_multinomial,DLBC,0.41961038864746847,0.020576394520947047,38.0
event_tfidf_multinomial,GBMLGG,0.1395399871995616,0.004774924533778629,461.0
event_tfidf_multinomial,HNSC,0.11937277619248925,0.025174338912106083,223.0
event_tfidf_multinomial,KIPAN,0.0905053822282873,0.014713071571468532,515.0
event_tfidf_multinomial,KIRC,0.39833038160543727,0.004388799877728921,334.0
event_tfidf_multinomial,LAML,0.46384669070640033,0.005457684612950706,158.0
event_tfidf_multinomial,LGG,0.545365159123686,0.0008650067783858693,229.0
event_tfidf_multinomial,LIHC,0.4175257731958763,0.0014880161577051597,158.0
event_tfidf_multinomial,LUAD,0.17747858254319818,0.01621750421204529,184.0
event_tfidf_multinomial,LUSC,0.4588384808570083,0.005668097999554692,178.0
event_tfidf_multinomial,OV,0.36540083969392906,0.00899901957723222,253.0
event_tfidf_multinomial,PAAD,0.33710171379618714,0.00961809517054297,120.0
event_tfidf_multinomial,PCPG,0.27771254768379494,0.01605128561867097,147.0
event_tfidf_multinomial,PRAD,0.3339370921507508,0.00816781220870225,266.0
event_tfidf_multinomial,SARC,0.0405517104536891,0.004644261091735705,198.0
