class,precision,recall,f1-score,support
ACC,0.8591549295774648,0.8472222222222222,0.8531468531468531,72.0
BLCA,0.4444444444444444,0.4230769230769231,0.43349753694581283,104.0
BRCA,0.7159904534606205,0.3816793893129771,0.4979253112033195,786.0
CESC,0.3811881188118812,0.4967741935483871,0.43137254901960786,155.0
COAD,0.7788461538461539,0.726457399103139,0.7517401392111369,223.0
DLBC,0.5833333333333334,0.5526315789473685,0.5675675675675675,38.0
GBMLGG,0.5503875968992248,0.3080260303687636,0.3949930458970793,461.0
HNSC,0.405,0.3632286995515695,0.3829787234042553,223.0
KIPAN,0.26628895184135976,0.1825242718446602,0.21658986175115208,515.0
KIRC,0.22888283378746593,0.25149700598802394,0.2396576319543509,334.0
LAML,0.3791469194312796,0.5063291139240507,0.43360433604336046,158.0
LGG,0.4308176100628931,0.5982532751091703,0.5009140767824497,229.0
LIHC,0.40641711229946526,0.4810126582278481,0.4405797101449275,158.0
LUAD,0.4513888888888889,0.3532608695652174,0.39634146341463417,184.0
LUSC,0.5816326530612245,0.6404494382022472,0.6096256684491979,178.0
OV,0.35368956743002544,0.549407114624506,0.43034055727554177,253.0
PAAD,0.28634361233480177,0.5416666666666666,0.3746397694524496,120.0
PCPG,0.1951219512195122,0.4897959183673469,0.27906976744186046,147.0
PRAD,0.30971128608923887,0.44360902255639095,0.36476043276661513,266.0
SARC,0.21910112359550563,0.19696969696969696,0.2074468085106383,198.0
SKCM,0.9620253164556962,0.8260869565217391,0.8888888888888888,276.0
STES,0.6271186440677966,0.48812664907651715,0.5489614243323442,379.0
TGCT,0.4117647058823529,0.7903225806451613,0.5414364640883977,124.0
THCA,0.8894230769230769,0.5709876543209876,0.6954887218045113,324.0
THYM,0.18340611353711792,0.42857142857142855,0.25688073394495414,98.0
UCEC,0.6610169491525424,0.5909090909090909,0.624,198.0
