variant,class,class_f1_mean,class_f1_std,support
blend_0p5,ACC,0.8478738023437797,0.018824065586827365,72.0
blend_0p5,BLCA,0.46601291736478484,0.007473855981451498,104.0
blend_0p5,BRCA,0.5145966773324461,0.004146474244753053,786.0
blend_0p5,CESC,0.4297086223662227,0.020152152627926283,155.0
blend_0p5,COAD,0.7531783645527721,0.00892041582278869,223.0
blend_0p5,DLBC,0.5446938241125201,0.027318290104999577,38.0
blend_0p5,GBMLGG,0.3749085896148432,0.005801770971260681,461.0
blend_0p5,HNSC,0.38952794699680515,0.006012181698856032,223.0
blend_0p5,KIPAN,0.2334800287204166,0.006810316843148741,515.0
blend_0p5,KIRC,0.2495574228850903,0.012083968004647722,334.0
blend_0p5,LAML,0.48992965060552257,0.013165848405419237,158.0
blend_0p5,LGG,0.525792610283126,0.00540057328307386,229.0
blend_0p5,LIHC,0.44646297717798217,0.015134622741061265,158.0
blend_0p5,LUAD,0.40237167367622284,0.013774397305885623,184.0
blend_0p5,LUSC,0.5673021825722012,0.007174332016910899,178.0
blend_0p5,OV,0.45756616765336044,0.00632425899075352,253.0
blend_0p5,PAAD,0.4228517391132556,0.00448212268287596,120.0
blend_0p5,PCPG,0.31494771374850367,0.006924457874698428,147.0
blend_0p5,PRAD,0.3402817731831196,0.0030730661501542425,266.0
blend_0p5,SARC,0.2067167275031309,0.013288610761127376,198.0
blend_0p5,SKCM,0.8840007775398236,0.004566218222761581,276.0
blend_0p5,STES,0.5532608507954538,0.010990006183419951,379.0
blend_0p5,TGCT,0.49611728477707856,0.00342852002337715,124.0
blend_0p5,THCA,0.6988783031804914,0.0020888794350229947,324.0
blend_0p5,THYM,0.2782225201311714,0.003531484325671395,98.0
blend_0p5,UCEC,0.5996770441020592,0.0066503322882877835,198.0
event_tfidf,ACC,0.714291161442843,0.005536222643051645,72.0
event_tfidf,BLCA,0.30128111250986844,0.004025186682190322,104.0
event_tfidf,BRCA,0.4720466298604173,0.0036846190469070573,786.0
event_tfidf,CESC,0.16771545571545568,0.02752240232227797,155.0
event_tfidf,COAD,0.581353542402296,0.0031791660959438373,223.0
event_tfidf,DLBC,0.41961038864746847,0.020576394520947047,38.0
event_tfidf,GBMLGG,0.1395399871995616,0.004774924533778629,461.0
event_tfidf,HNSC,0.11937277619248925,0.025174338912106083,223.0
event_tfidf,KIPAN,0.0905053822282873,0.014713071571468532,515.0
event_tfidf,KIRC,0.39833038160543727,0.004388799877728921,334.0
event_tfidf,LAML,0.46384669070640033,0.005457684612950706,158.0
event_tfidf,LGG,0.545365159123686,0.0008650067783858693,229.0
event_tfidf,LIHC,0.4175257731958763,0.0014880161577051597,158.0
event_tfidf,LUAD,0.17747858254319818,0.01621750421204529,184.0
event_tfidf,LUSC,0.4588384808570083,0.005668097999554692,178.0
event_tfidf,OV,0.36540083969392906,0.00899901957723222,253.0
event_tfidf,PAAD,0.33710171379618714,0.00961809517054297,120.0
event_tfidf,PCPG,0.27771254768379494,0.01605128561867097,147.0
event_tfidf,PRAD,0.3339370921507508,0.00816781220870225,266.0
event_tfidf,SARC,0.0405517104536891,0.004644261091735705,198.0
event_tfidf,SKCM,0.6397183208837398,0.007327362587863284,276.0
event_tfidf,STES,0.43685190823270115,0.012473506522208846,379.0
event_tfidf,TGCT,0.48765148358060967,0.014924096926371214,124.0
event_tfidf,THCA,0.6440889520875301,0.0012793518229465206,324.0
event_tfidf,THYM,0.22269481964706497,0.005334280863005818,98.0
event_tfidf,UCEC,0.5163058700554695,0.014215891293558788,198.0
primary,ACC,0.8449560602272945,0.02203149845036995,72.0
primary,BLCA,0.4726028615540045,0.004618901209313816,104.0
primary,BRCA,0.5138817145353025,0.0041979175376776,786.0
primary,CESC,0.42844202503547096,0.01887855959145445,155.0
primary,COAD,0.754965566782237,0.008144253086622387,223.0
primary,DLBC,0.51878701729448,0.02871087735761674,38.0
primary,GBMLGG,0.3786448426182625,0.006466922051390551,461.0
primary,HNSC,0.38767035130725985,0.0057906101842861435,223.0
primary,KIPAN,0.23522065439502918,0.006385616479045828,515.0
primary,KIRC,0.2465343035624715,0.005938409463084665,334.0
primary,LAML,0.4842053019262629,0.014505654183320386,158.0
primary,LGG,0.517333797370095,0.014543596645695442,229.0
primary,LIHC,0.4459843690688519,0.014946299376452834,158.0
primary,LUAD,0.4015433120869379,0.013779627650583007,184.0
primary,LUSC,0.5669991164970103,0.005261451180518006,178.0
primary,OV,0.4573552543255888,0.007309365876333063,253.0
primary,PAAD,0.4243369909663302,0.0028792881341922353,120.0
primary,PCPG,0.3097030914173764,0.010203234823052194,147.0
primary,PRAD,0.33631195567297034,0.0027948384120743746,266.0
primary,SARC,0.20722882438253562,0.010426535251447796,198.0
primary,SKCM,0.8844283854413092,0.0064957991692810475,276.0
primary,STES,0.5539639424304056,0.009513430411579173,379.0
primary,TGCT,0.4969897972774981,0.0026841646153222295,124.0
primary,THCA,0.6975745455450588,0.003378412631941971,324.0
primary,THYM,0.2731013078787909,0.004449890826916463,98.0
primary,UCEC,0.6022774284997321,0.005780257608426903,198.0
