class,precision,recall,f1-score,support
ACC,0.7777777777777778,0.7777777777777778,0.7777777777777778,72.0
BLCA,0.3902439024390244,0.3076923076923077,0.34408602150537637,104.0
BRCA,0.6651480637813212,0.37150127226463103,0.476734693877551,786.0
CESC,0.3388888888888889,0.3935483870967742,0.3641791044776119,155.0
COAD,0.7488151658767772,0.7085201793721974,0.728110599078341,223.0
DLBC,0.38095238095238093,0.42105263157894735,0.4,38.0
GBMLGG,0.45849802371541504,0.25162689804772237,0.32492997198879553,461.0
HNSC,0.3723404255319149,0.31390134529147984,0.340632603406326,223.0
KIPAN,0.2553191489361702,0.16310679611650486,0.1990521327014218,515.0
KIRC,0.1778975741239892,0.19760479041916168,0.18723404255319148,334.0
LAML,0.3146853146853147,0.569620253164557,0.40540540540540543,158.0
LGG,0.40797546012269936,0.5807860262008734,0.47927927927927927,229.0
LIHC,0.372972972972973,0.43670886075949367,0.40233236151603496,158.0
LUAD,0.4452054794520548,0.3532608695652174,0.3939393939393939,184.0
LUSC,0.5114942528735632,0.5,0.5056818181818182,178.0
OV,0.3351063829787234,0.4980237154150198,0.40063593004769477,253.0
PAAD,0.29464285714285715,0.55,0.38372093023255816,120.0
PCPG,0.20625,0.4489795918367347,0.2826552462526767,147.0
PRAD,0.2765432098765432,0.42105263157894735,0.33383010432190763,266.0
SARC,0.16810344827586207,0.19696969696969696,0.1813953488372093,198.0
SKCM,0.9176954732510288,0.8079710144927537,0.859344894026975,276.0
STES,0.5763888888888888,0.43799472295514513,0.49775112443778113,379.0
TGCT,0.4722222222222222,0.6854838709677419,0.5592105263157895,124.0
THCA,0.8362831858407079,0.5833333333333334,0.6872727272727273,324.0
THYM,0.1598360655737705,0.3979591836734694,0.22807017543859648,98.0
UCEC,0.5698324022346368,0.5151515151515151,0.5411140583554377,198.0
