variant,class,precision,recall,f1-score,support
primary,ACC,0.890625,0.7916666666666666,0.8382352941176471,72.0
primary,BLCA,0.5111111111111111,0.4423076923076923,0.4742268041237113,104.0
primary,BRCA,0.782051282051282,0.3880407124681934,0.5187074829931972,786.0
primary,CESC,0.40625,0.5032258064516129,0.4495677233429395,155.0
primary,COAD,0.7969543147208121,0.7040358744394619,0.7476190476190476,223.0
primary,DLBC,0.6206896551724138,0.47368421052631576,0.5373134328358209,38.0
primary,GBMLGG,0.5508474576271186,0.28199566160520606,0.37302725968436157,461.0
primary,HNSC,0.4117647058823529,0.37668161434977576,0.39344262295081966,223.0
primary,KIPAN,0.29213483146067415,0.20194174757281552,0.23880597014925373,515.0
primary,KIRC,0.24645892351274787,0.26047904191616766,0.25327510917030566,334.0
primary,LAML,0.4666666666666667,0.5316455696202531,0.4970414201183432,158.0
primary,LGG,0.42857142857142855,0.6026200873362445,0.5009074410163339,229.0
primary,LIHC,0.4166666666666667,0.5063291139240507,0.45714285714285713,158.0
primary,LUAD,0.4788732394366197,0.3695652173913043,0.4171779141104294,184.0
primary,LUSC,0.5847953216374269,0.5617977528089888,0.5730659025787965,178.0
primary,OV,0.3556581986143187,0.6086956521739131,0.4489795918367347,253.0
primary,PAAD,0.32432432432432434,0.6,0.42105263157894735,120.0
primary,PCPG,0.20568927789934355,0.6394557823129252,0.31125827814569534,147.0
primary,PRAD,0.2765432098765432,0.42105263157894735,0.33383010432190763,266.0
primary,SARC,0.22839506172839505,0.18686868686868688,0.20555555555555555,198.0
primary,SKCM,0.9456066945606695,0.8188405797101449,0.8776699029126214,276.0
primary,STES,0.6387959866220736,0.503957783641161,0.5634218289085545,379.0
primary,TGCT,0.375,0.75,0.5,124.0
primary,THCA,0.8899521531100478,0.5740740740740741,0.6979362101313321,324.0
primary,THYM,0.19469026548672566,0.4489795918367347,0.2716049382716049,98.0
primary,UCEC,0.6338797814207651,0.5858585858585859,0.6089238845144357,198.0
event_tfidf,ACC,0.5789473684210527,0.9166666666666666,0.7096774193548387,72.0
event_tfidf,BLCA,0.18561484918793503,0.7692307692307693,0.29906542056074764,104.0
event_tfidf,BRCA,0.8312101910828026,0.3320610687022901,0.47454545454545455,786.0
event_tfidf,CESC,0.17894736842105263,0.10967741935483871,0.136,155.0
event_tfidf,COAD,0.4906832298136646,0.7085201793721974,0.5798165137614679,223.0
event_tfidf,DLBC,0.28125,0.7105263157894737,0.40298507462686567,38.0
event_tfidf,GBMLGG,0.6101694915254238,0.07809110629067245,0.13846153846153847,461.0
event_tfidf,HNSC,0.5416666666666666,0.05829596412556054,0.10526315789473684,223.0
event_tfidf,KIPAN,0.23529411764705882,0.04660194174757282,0.07779578606158834,515.0
event_tfidf,KIRC,0.36597938144329895,0.4251497005988024,0.39335180055401664,334.0
event_tfidf,LAML,0.43478260869565216,0.5063291139240507,0.4678362573099415,158.0
event_tfidf,LGG,0.4116331096196868,0.8034934497816594,0.5443786982248521,229.0
event_tfidf,LIHC,0.46153846153846156,0.379746835443038,0.4166666666666667,158.0
event_tfidf,LUAD,0.29069767441860467,0.1358695652173913,0.18518518518518517,184.0
event_tfidf,LUSC,0.3215962441314554,0.7696629213483146,0.45364238410596025,178.0
event_tfidf,OV,0.39823008849557523,0.3557312252964427,0.3757828810020877,253.0
event_tfidf,PAAD,0.23024054982817868,0.5583333333333333,0.3260340632603406,120.0
event_tfidf,PCPG,0.1880597014925373,0.42857142857142855,0.26141078838174275,147.0
event_tfidf,PRAD,0.31560283687943264,0.33458646616541354,0.3248175182481752,266.0
event_tfidf,SARC,0.16666666666666666,0.025252525252525252,0.043859649122807015,198.0
event_tfidf,SKCM,0.5159817351598174,0.8188405797101449,0.6330532212885154,276.0
event_tfidf,STES,0.7341772151898734,0.30606860158311344,0.43202979515828677,379.0
event_tfidf,TGCT,0.35294117647058826,0.7741935483870968,0.48484848484848486,124.0
event_tfidf,THCA,0.7248062015503876,0.5771604938271605,0.6426116838487973,324.0
event_tfidf,THYM,0.14004914004914004,0.5816326530612245,0.22574257425742575,98.0
event_tfidf,UCEC,0.4230769230769231,0.6111111111111112,0.5,198.0
blend_0p5,ACC,0.890625,0.7916666666666666,0.8382352941176471,72.0
blend_0p5,BLCA,0.5,0.4423076923076923,0.46938775510204084,104.0
blend_0p5,BRCA,0.7840616966580977,0.3880407124681934,0.5191489361702127,786.0
blend_0p5,CESC,0.4105263157894737,0.5032258064516129,0.45217391304347826,155.0
blend_0p5,COAD,0.7889447236180904,0.7040358744394619,0.7440758293838863,223.0
blend_0p5,DLBC,0.6551724137931034,0.5,0.5671641791044776,38.0
blend_0p5,GBMLGG,0.5663716814159292,0.27765726681127983,0.3726346433770015,461.0
blend_0p5,HNSC,0.4129353233830846,0.3721973094170404,0.3915094339622642,223.0
blend_0p5,KIPAN,0.29213483146067415,0.20194174757281552,0.23880597014925373,515.0
blend_0p5,KIRC,0.2549019607843137,0.27245508982035926,0.2633863965267728,334.0
blend_0p5,LAML,0.4797687861271676,0.5253164556962026,0.5015105740181269,158.0
blend_0p5,LGG,0.44072948328267475,0.6331877729257642,0.5197132616487455,229.0
blend_0p5,LIHC,0.41450777202072536,0.5063291139240507,0.45584045584045585,158.0
blend_0p5,LUAD,0.4788732394366197,0.3695652173913043,0.4171779141104294,184.0
blend_0p5,LUSC,0.5838150289017341,0.5674157303370787,0.5754985754985755,178.0
blend_0p5,OV,0.35730858468677495,0.6086956521739131,0.4502923976608187,253.0
blend_0p5,PAAD,0.3230088495575221,0.6083333333333333,0.42196531791907516,120.0
blend_0p5,PCPG,0.20833333333333334,0.6462585034013606,0.3150912106135987,147.0
blend_0p5,PRAD,0.28255528255528256,0.4323308270676692,0.34175334323922735,266.0
blend_0p5,SARC,0.22981366459627328,0.18686868686868688,0.20612813370473537,198.0
blend_0p5,SKCM,0.9458333333333333,0.822463768115942,0.8798449612403101,276.0
blend_0p5,STES,0.6409395973154363,0.503957783641161,0.5642540620384048,379.0
blend_0p5,TGCT,0.375,0.75,0.5,124.0
blend_0p5,THCA,0.8942307692307693,0.5740740740740741,0.6992481203007519,324.0
blend_0p5,THYM,0.20087336244541484,0.46938775510204084,0.28134556574923547,98.0
blend_0p5,UCEC,0.6304347826086957,0.5858585858585859,0.6073298429319371,198.0
