candidate,class,precision,recall,class_f1,support
lgbm_native_baseline,ACC,0.8095238095238095,0.7083333333333334,0.7555555555555555,72.0
lgbm_native_baseline,BLCA,0.34615384615384615,0.17307692307692307,0.23076923076923078,104.0
lgbm_native_baseline,BRCA,0.4907161803713528,0.4707379134860051,0.4805194805194805,786.0
lgbm_native_baseline,CESC,0.1523809523809524,0.1032258064516129,0.12307692307692308,155.0
lgbm_native_baseline,COAD,0.6572769953051644,0.6278026905829597,0.6422018348623854,223.0
lgbm_native_baseline,DLBC,0.6666666666666666,0.3157894736842105,0.42857142857142855,38.0
lgbm_native_baseline,GBMLGG,0.2997658079625293,0.27765726681127983,0.2882882882882883,461.0
lgbm_native_baseline,HNSC,0.33532934131736525,0.25112107623318386,0.28717948717948716,223.0
lgbm_native_baseline,KIPAN,0.1431297709923664,0.14563106796116504,0.14436958614051973,515.0
lgbm_native_baseline,KIRC,0.10443864229765012,0.11976047904191617,0.11157601115760112,334.0
lgbm_native_baseline,LAML,0.36923076923076925,0.45569620253164556,0.40793201133144474,158.0
lgbm_native_baseline,LGG,0.2563176895306859,0.31004366812227074,0.28063241106719367,229.0
lgbm_native_baseline,LIHC,0.3409090909090909,0.189873417721519,0.24390243902439024,158.0
lgbm_native_baseline,LUAD,0.2980769230769231,0.16847826086956522,0.2152777777777778,184.0
lgbm_native_baseline,LUSC,0.32432432432432434,0.20224719101123595,0.2491349480968858,178.0
lgbm_native_baseline,OV,0.23423423423423423,0.308300395256917,0.26621160409556316,253.0
lgbm_native_baseline,PAAD,0.13333333333333333,0.06666666666666667,0.08888888888888889,120.0
lgbm_native_baseline,PCPG,0.16267942583732056,0.23129251700680273,0.19101123595505617,147.0
lgbm_native_baseline,PRAD,0.22508038585209003,0.2631578947368421,0.24263431542461006,266.0
lgbm_native_baseline,SARC,0.1593625498007968,0.20202020202020202,0.17817371937639198,198.0
lgbm_native_baseline,SKCM,0.7211155378486056,0.6557971014492754,0.6869070208728653,276.0
lgbm_native_baseline,STES,0.38125,0.32189973614775724,0.3490701001430615,379.0
lgbm_native_baseline,TGCT,0.33783783783783783,0.20161290322580644,0.25252525252525254,124.0
lgbm_native_baseline,THCA,0.5787965616045845,0.6234567901234568,0.600297176820208,324.0
lgbm_native_baseline,THYM,0.12090680100755667,0.4897959183673469,0.19393939393939394,98.0
lgbm_native_baseline,UCEC,0.5878787878787879,0.4898989898989899,0.5344352617079889,198.0
lgbm_mask_noise_0p001,ACC,0.8709677419354839,0.75,0.8059701492537313,72.0
lgbm_mask_noise_0p001,BLCA,0.3617021276595745,0.16346153846153846,0.2251655629139073,104.0
lgbm_mask_noise_0p001,BRCA,0.36908783783783783,0.5559796437659033,0.4436548223350254,786.0
lgbm_mask_noise_0p001,CESC,0.16,0.07741935483870968,0.10434782608695652,155.0
lgbm_mask_noise_0p001,COAD,0.6591928251121076,0.6591928251121076,0.6591928251121076,223.0
lgbm_mask_noise_0p001,DLBC,0.5882352941176471,0.2631578947368421,0.36363636363636365,38.0
lgbm_mask_noise_0p001,GBMLGG,0.30885529157667385,0.31019522776572667,0.30952380952380953,461.0
lgbm_mask_noise_0p001,HNSC,0.3443708609271523,0.23318385650224216,0.27807486631016043,223.0
lgbm_mask_noise_0p001,KIPAN,0.14743589743589744,0.1786407766990291,0.16154521510096576,515.0
lgbm_mask_noise_0p001,KIRC,0.1008174386920981,0.11077844311377245,0.10556348074179743,334.0
lgbm_mask_noise_0p001,LAML,0.5546218487394958,0.4177215189873418,0.47653429602888087,158.0
lgbm_mask_noise_0p001,LGG,0.2581967213114754,0.27510917030567683,0.266384778012685,229.0
lgbm_mask_noise_0p001,LIHC,0.3787878787878788,0.15822784810126583,0.22321428571428573,158.0
lgbm_mask_noise_0p001,LUAD,0.3707865168539326,0.1793478260869565,0.24175824175824176,184.0
lgbm_mask_noise_0p001,LUSC,0.3305785123966942,0.2247191011235955,0.26755852842809363,178.0
lgbm_mask_noise_0p001,OV,0.2573099415204678,0.34782608695652173,0.2957983193277311,253.0
lgbm_mask_noise_0p001,PAAD,0.2,0.075,0.10909090909090909,120.0
lgbm_mask_noise_0p001,PCPG,0.21897810218978103,0.20408163265306123,0.2112676056338028,147.0
lgbm_mask_noise_0p001,PRAD,0.18080357142857142,0.30451127819548873,0.226890756302521,266.0
lgbm_mask_noise_0p001,SARC,0.13942307692307693,0.14646464646464646,0.14285714285714285,198.0
lgbm_mask_noise_0p001,SKCM,0.7656903765690377,0.6630434782608695,0.7106796116504854,276.0
lgbm_mask_noise_0p001,STES,0.35694050991501414,0.3324538258575198,0.3442622950819672,379.0
lgbm_mask_noise_0p001,TGCT,0.4032258064516129,0.20161290322580644,0.26881720430107525,124.0
lgbm_mask_noise_0p001,THCA,0.6153846153846154,0.6172839506172839,0.6163328197226502,324.0
lgbm_mask_noise_0p001,THYM,0.0,0.0,0.0,98.0
lgbm_mask_noise_0p001,UCEC,0.60625,0.4898989898989899,0.5418994413407822,198.0
