experiment_id,model,seed_count,oof_macro_f1_mean,oof_macro_f1_std,oof_accuracy_mean,feature_count_mean,runtime_seconds_mean,convergence_warning_count,leakage_check,nan_as_mutation_count,delta_vs_exact4,all_seed_positive_vs_exact4,decision
H-AS-LR-exact,logistic,3,0.4334785930832088,0.0024359419335661893,0.42218996935978065,8215.533333333333,294.45259144433174,15,True,0,0.0,False,기준
H-AS-LR-exact-minus-BRAF-V600E,logistic,3,0.4326017070041033,0.0017932244045492092,0.4216524216524216,8214.533333333333,287.16513958299765,15,True,0,-0.0008768860791055211,False,유지
H-AS-LR-exact-minus-IDH1-R132H,logistic,3,0.432494190845879,0.001770963720380454,0.42100736440359077,8214.533333333333,286.189138777668,14,True,0,-0.0009844022373298178,False,유지
H-AS-LR-exact-minus-PIK3CA-E545K,logistic,3,0.43218883049209583,0.0027151870608479556,0.42100736440359077,8214.533333333333,284.98482054133154,15,True,0,-0.001289762591112964,False,유지
H-AS-LR-exact-minus-PIK3CA-H1047R,logistic,3,0.43257075115696303,0.0025619705174631316,0.421437402569478,8214.533333333333,285.6438971110013,15,True,0,-0.0009078419262457671,False,유지
