class,precision,recall,f1-score,support
ACC,0.8088235294117647,0.7638888888888888,0.7857142857142857,72.0
BLCA,0.36470588235294116,0.2980769230769231,0.328042328042328,104.0
BRCA,0.6401673640167364,0.3893129770992366,0.48417721518987344,786.0
CESC,0.3372093023255814,0.3741935483870968,0.3547400611620795,155.0
COAD,0.7476635514018691,0.7174887892376681,0.7322654462242563,223.0
DLBC,0.27450980392156865,0.3684210526315789,0.3146067415730337,38.0
GBMLGG,0.4646840148698885,0.27114967462039047,0.3424657534246575,461.0
HNSC,0.3471502590673575,0.3004484304932735,0.32211538461538464,223.0
KIPAN,0.2303206997084548,0.1533980582524272,0.18414918414918416,515.0
KIRC,0.18571428571428572,0.19461077844311378,0.19005847953216373,334.0
LAML,0.35555555555555557,0.6075949367088608,0.4485981308411215,158.0
LGG,0.3904761904761905,0.537117903930131,0.4522058823529412,229.0
LIHC,0.40350877192982454,0.43670886075949367,0.4194528875379939,158.0
LUAD,0.42953020134228187,0.34782608695652173,0.3843843843843844,184.0
LUSC,0.5359116022099447,0.5449438202247191,0.5403899721448467,178.0
OV,0.34048257372654156,0.5019762845849802,0.4057507987220447,253.0
PAAD,0.2893401015228426,0.475,0.35962145110410093,120.0
PCPG,0.19420289855072465,0.4557823129251701,0.27235772357723576,147.0
PRAD,0.2751196172248804,0.4323308270676692,0.3362573099415205,266.0
SARC,0.19069767441860466,0.20707070707070707,0.19854721549636803,198.0
SKCM,0.9327731092436975,0.8043478260869565,0.8638132295719845,276.0
STES,0.5778546712802768,0.44063324538258575,0.5,379.0
TGCT,0.44021739130434784,0.6532258064516129,0.525974025974026,124.0
THCA,0.808695652173913,0.5740740740740741,0.6714801444043321,324.0
THYM,0.18181818181818182,0.42857142857142855,0.2553191489361702,98.0
UCEC,0.5813953488372093,0.5050505050505051,0.5405405405405406,198.0
