class,class_f1_mean,class_f1_std,support
ACC,0.7698614554842668,0.00977044455046335,72.0
BLCA,0.3464530762827491,0.02941563443043633,104.0
BRCA,0.47875948877456914,0.0011678695816761484,786.0
CESC,0.3690494964453077,0.01600304789596751,155.0
COAD,0.7349777606706013,0.009289870949858439,223.0
DLBC,0.35065401899404575,0.05067291538141335,38.0
GBMLGG,0.3258375529113762,0.009086215911303729,461.0
HNSC,0.33340437624325087,0.012848557583480746,223.0
KIPAN,0.20140129926617378,0.00739072311396604,515.0
KIRC,0.1896195017630946,0.008353232979210921,334.0
LAML,0.4161851291492735,0.0152448145510836,158.0
LGG,0.47693720552981106,0.006291871174784043,229.0
LIHC,0.41868451208934526,0.0027851230419105263,158.0
LUAD,0.3967183239274467,0.018630860485276672,184.0
LUSC,0.5361243421702547,0.008418289659049881,178.0
OV,0.4067718152604636,0.003969324834602801,253.0
PAAD,0.35654594189984284,0.02430674008246443,120.0
PCPG,0.28142416006016685,0.010239123495745826,147.0
PRAD,0.33404141567188805,0.00806220830992939,266.0
SARC,0.18792216616364307,0.007148236900904952,198.0
SKCM,0.8680968453830397,0.004276010795834571,276.0
STES,0.5024703866311432,0.016193209124547088,379.0
TGCT,0.5430850785682537,0.017431384134604783,124.0
THCA,0.6851604336469498,0.003464979208124881,324.0
THYM,0.1298880036543017,0.027919969441536453,98.0
UCEC,0.5535850489720104,0.006774324531784545,198.0
