class,class_f1_mean,class_f1_std,support
SKCM,0.8643437018739646,0.0014834092248703706,276.0
ACC,0.7738873327108621,0.014178310588102264,72.0
COAD,0.7234409339042681,0.009558983685314477,223.0
THCA,0.6787392874755452,0.006770173595966057,324.0
UCEC,0.5461807430847679,0.010146932398200402,198.0
TGCT,0.5434253218867652,0.015243606676764977,124.0
LUSC,0.5281601754664451,0.01713827704296268,178.0
STES,0.4959317115280418,0.005794980266114438,379.0
BRCA,0.48150779976562524,0.00359546974379401,786.0
LGG,0.46551143019803004,0.01238444239415808,229.0
LAML,0.4229945053822601,0.022671384571959767,158.0
LIHC,0.4076767327654261,0.011442230175491555,158.0
OV,0.4058735701874765,0.0046622830761213355,253.0
LUAD,0.38180396275881484,0.0033271633735278364,184.0
CESC,0.36701106306391146,0.011390103845017254,155.0
PAAD,0.35839382695576943,0.02347574272475641,120.0
DLBC,0.3562142763141514,0.040298446227510554,38.0
PRAD,0.3397121640042718,0.005096782704430126,266.0
HNSC,0.3358585247428691,0.012085317356074139,223.0
GBMLGG,0.33055610914630673,0.010963075237375604,461.0
BLCA,0.32493684049523774,0.008598146140450211,104.0
PCPG,0.28146259958840186,0.007890787481435197,147.0
THYM,0.2364837867861286,0.01658954462856376,98.0
KIPAN,0.19324049175376837,0.009902162262406656,515.0
SARC,0.1909899223043409,0.01063902242822126,198.0
KIRC,0.18030804603004325,0.01290006437312188,334.0
