class,precision,recall,f1-score,support
ACC,0.7777777777777778,0.7777777777777778,0.7777777777777778,72.0
BLCA,0.38271604938271603,0.2980769230769231,0.33513513513513515,104.0
BRCA,0.6689342403628118,0.3753180661577608,0.4808475957620212,786.0
CESC,0.3388888888888889,0.3935483870967742,0.3641791044776119,155.0
COAD,0.7607655502392344,0.7130044843049327,0.7361111111111112,223.0
DLBC,0.38095238095238093,0.42105263157894735,0.4,38.0
GBMLGG,0.45703125,0.25379609544468545,0.3263598326359833,461.0
HNSC,0.36507936507936506,0.3094170403587444,0.33495145631067963,223.0
KIPAN,0.26126126126126126,0.16893203883495145,0.20518867924528303,515.0
KIRC,0.17344173441734417,0.19161676646706588,0.18207681365576103,334.0
LAML,0.31338028169014087,0.5632911392405063,0.40271493212669685,158.0
LGG,0.40615384615384614,0.5764192139737991,0.47653429602888087,229.0
LIHC,0.3825136612021858,0.4430379746835443,0.41055718475073316,158.0
LUAD,0.43448275862068964,0.3423913043478261,0.3829787234042553,184.0
LUSC,0.5263157894736842,0.5056179775280899,0.5157593123209169,178.0
OV,0.33421750663129973,0.4980237154150198,0.4,253.0
PAAD,0.29777777777777775,0.5583333333333333,0.3884057971014493,120.0
PCPG,0.2043343653250774,0.4489795918367347,0.28085106382978725,147.0
PRAD,0.27860696517412936,0.42105263157894735,0.33532934131736525,266.0
SARC,0.16956521739130434,0.19696969696969696,0.1822429906542056,198.0
SKCM,0.9218106995884774,0.8115942028985508,0.8631984585741811,276.0
STES,0.5827586206896552,0.44591029023746703,0.5052316890881914,379.0
TGCT,0.4702702702702703,0.7016129032258065,0.5631067961165048,124.0
THCA,0.8532110091743119,0.5740740740740741,0.6863468634686347,324.0
THYM,0.15789473684210525,0.3979591836734694,0.22608695652173913,98.0
UCEC,0.574585635359116,0.5252525252525253,0.5488126649076517,198.0
