experiment_id,seed_count,macro_f1_mean,macro_f1_std,feature_count_mean,convergence_warning_count,delta_vs_Aall_raw
H-AS-LR-exact-confusion-pairs,3,0.43849524451628347,0.004020572376291576,8219.533333333333,15,0.0
H-AS-LR-exact-confusion-pairs-Aall-log1p,3,0.4755188031310226,0.00033705452506230054,8219.533333333333,0,0.03702355861473916
H-AS-LR-exact-confusion-pairs-Apair-log1p,3,0.47850164684994484,0.002483753024006579,8173.533333333333,0,0.04000640233366137
H-AS-LR-exact-confusion-pairs-Apair-raw,3,0.461317883541379,0.004255898757168208,8173.533333333333,15,0.022822639025095515
