seed,H-AS-LR-exact-confusion-pairs-Apair-log1p,H-AS-LR-exact-confusion-pairs-Apair-log1p-Bbins,paired_delta_binning_vs_baseline
42,0.4781416884648803,0.4793726810686075,0.0012309926037271657
777,0.481145738774279,0.4808289060885658,-0.00031683268571319756
2024,0.4762175133106753,0.4805974281981337,0.004379914887458425
