seed,variant,oof_macro_f1,oof_accuracy,feature_count_mean,convergence_warning_count,leakage_check,nan_as_mutation_count,runtime_seconds,delta_vs_exact_event_eb
42,exact_event_EB,0.5701536251918302,0.5849056603773585,8245.2,0,True,0,2305.161422291945,0.0
42,exact_event_EB_confidence,0.558086197623249,0.5795839380745041,8479.2,0,True,0,2305.1862684579683,-0.012067427568581257
