seed,variant,class,precision,recall,f1,support
42,exact_event_EB,ACC,0.918918918918919,0.9444444444444444,0.9315068493150684,72
42,exact_event_EB,BLCA,0.5,0.4230769230769231,0.4583333333333333,104
42,exact_event_EB,BRCA,0.5967957276368492,0.5687022900763359,0.5824104234527687,786
42,exact_event_EB,CESC,0.43548387096774194,0.34838709677419355,0.3870967741935484,155
42,exact_event_EB,COAD,0.7723214285714286,0.7757847533632287,0.7740492170022372,223
42,exact_event_EB,DLBC,0.8214285714285714,0.6052631578947368,0.696969696969697,38
42,exact_event_EB,GBMLGG,0.7168367346938775,0.6095444685466378,0.6588511137162955,461
42,exact_event_EB,HNSC,0.43783783783783786,0.3632286995515695,0.39705882352941174,223
42,exact_event_EB,KIPAN,0.7092511013215859,0.625242718446602,0.6646026831785345,515
42,exact_event_EB,KIRC,0.7024128686327078,0.7844311377245509,0.7411598302687411,334
42,exact_event_EB,LAML,0.6323529411764706,0.5443037974683544,0.5850340136054422,158
42,exact_event_EB,LGG,0.7209302325581395,0.8122270742358079,0.7638603696098563,229
42,exact_event_EB,LIHC,0.4583333333333333,0.4873417721518987,0.4723926380368098,158
42,exact_event_EB,LUAD,0.48333333333333334,0.31521739130434784,0.3815789473684211,184
42,exact_event_EB,LUSC,0.5164319248826291,0.6179775280898876,0.5626598465473146,178
42,exact_event_EB,OV,0.3949843260188088,0.4980237154150198,0.4405594405594406,253
42,exact_event_EB,PAAD,0.40714285714285714,0.475,0.43846153846153846,120
42,exact_event_EB,PCPG,0.3511111111111111,0.5374149659863946,0.42473118279569894,147
42,exact_event_EB,PRAD,0.36182336182336183,0.4774436090225564,0.41166936790923825,266
42,exact_event_EB,SARC,0.23493975903614459,0.19696969696969696,0.21428571428571427,198
42,exact_event_EB,SKCM,0.9435483870967742,0.8478260869565217,0.8931297709923665,276
42,exact_event_EB,STES,0.5739348370927319,0.604221635883905,0.5886889460154242,379
42,exact_event_EB,TGCT,0.6642857142857143,0.75,0.7045454545454546,124
42,exact_event_EB,THCA,0.805668016194332,0.6141975308641975,0.6970227670753065,324
42,exact_event_EB,THYM,0.23863636363636365,0.42857142857142855,0.30656934306569344,98
42,exact_event_EB,UCEC,0.6372549019607843,0.6565656565656566,0.6467661691542289,198
42,exact_event_EB_confidence,ACC,0.8947368421052632,0.9444444444444444,0.918918918918919,72
42,exact_event_EB_confidence,BLCA,0.4838709677419355,0.4326923076923077,0.45685279187817257,104
42,exact_event_EB_confidence,BRCA,0.5945578231292517,0.5559796437659033,0.5746219592373438,786
42,exact_event_EB_confidence,CESC,0.4262295081967213,0.33548387096774196,0.37545126353790614,155
42,exact_event_EB_confidence,COAD,0.7361702127659574,0.7757847533632287,0.7554585152838428,223
42,exact_event_EB_confidence,DLBC,0.7083333333333334,0.4473684210526316,0.5483870967741935,38
42,exact_event_EB_confidence,GBMLGG,0.7235142118863049,0.6073752711496746,0.660377358490566,461
42,exact_event_EB_confidence,HNSC,0.4065934065934066,0.33183856502242154,0.3654320987654321,223
42,exact_event_EB_confidence,KIPAN,0.7047817047817048,0.658252427184466,0.6807228915662651,515
42,exact_event_EB_confidence,KIRC,0.7170868347338936,0.7664670658682635,0.7409551374819102,334
42,exact_event_EB_confidence,LAML,0.6,0.5316455696202531,0.5637583892617449,158
42,exact_event_EB_confidence,LGG,0.7372549019607844,0.8209606986899564,0.7768595041322314,229
42,exact_event_EB_confidence,LIHC,0.46405228758169936,0.44936708860759494,0.4565916398713826,158
42,exact_event_EB_confidence,LUAD,0.4603174603174603,0.31521739130434784,0.3741935483870968,184
42,exact_event_EB_confidence,LUSC,0.5320197044334976,0.6067415730337079,0.5669291338582677,178
42,exact_event_EB_confidence,OV,0.40064102564102566,0.49407114624505927,0.4424778761061947,253
42,exact_event_EB_confidence,PAAD,0.4166666666666667,0.4583333333333333,0.4365079365079365,120
42,exact_event_EB_confidence,PCPG,0.34080717488789236,0.5170068027210885,0.41081081081081083,147
42,exact_event_EB_confidence,PRAD,0.3628571428571429,0.4774436090225564,0.41233766233766234,266
42,exact_event_EB_confidence,SARC,0.22777777777777777,0.20707070707070707,0.21693121693121692,198
42,exact_event_EB_confidence,SKCM,0.9105058365758755,0.8478260869565217,0.8780487804878049,276
42,exact_event_EB_confidence,STES,0.5547445255474452,0.6015831134564644,0.5772151898734177,379
42,exact_event_EB_confidence,TGCT,0.6413793103448275,0.75,0.6914498141263941,124
42,exact_event_EB_confidence,THCA,0.8264462809917356,0.6172839506172839,0.7067137809187279,324
42,exact_event_EB_confidence,THYM,0.22826086956521738,0.42857142857142855,0.2978723404255319,98
42,exact_event_EB_confidence,UCEC,0.6275510204081632,0.6212121212121212,0.6243654822335025,198
