seed,fold,variant,macro_f1,accuracy,feature_count
42,1,H0_selective_EB,0.528516470887176,0.5439161966156325,8178
42,1,Complement_NB,0.1873858225353377,0.23771152296535053,4230
42,1,H0_plus_Complement_NB,0.528516470887176,0.5439161966156325,12408
42,2,H0_selective_EB,0.5518911944485894,0.5661290322580645,8221
42,2,Complement_NB,0.2059723267355431,0.25967741935483873,4229
42,2,H0_plus_Complement_NB,0.5518911944485894,0.5661290322580645,12450
42,3,H0_selective_EB,0.5434490629256266,0.5475806451612903,8187
42,3,Complement_NB,0.1900345702304918,0.2411290322580645,4230
42,3,H0_plus_Complement_NB,0.5434490629256266,0.5475806451612903,12417
42,4,H0_selective_EB,0.5547587960574124,0.5693548387096774,8267
42,4,Complement_NB,0.19338571817118339,0.25483870967741934,4228
42,4,H0_plus_Complement_NB,0.5547587960574124,0.5693548387096774,12495
42,5,H0_selective_EB,0.5584993408995549,0.567741935483871,8243
42,5,Complement_NB,0.20498564996871657,0.2653225806451613,4226
42,5,H0_plus_Complement_NB,0.5584993408995549,0.567741935483871,12469
